alpha,total_aid,top5pct_aid_share,corr_aid_severity,near_cell_deficit,far_cell_deficit,tick_unmet_below5,tick_unmet_below1,residue_last25ticks,unmet_needs
0.0,403.0,0.234,0.679,-0.579,-0.165,39,,1.34,1.592
0.1,403.7,0.237,0.67,-0.581,-0.165,39,114,1.062,1.166
0.2,401.5,0.222,0.691,-0.562,-0.168,39,92,1.186,1.079
0.3,397.0,0.216,0.684,-0.533,-0.174,45,93,1.036,0.955
0.4,389.4,0.21,0.686,-0.494,-0.174,44,88,0.734,0.805
0.5,376.1,0.201,0.676,-0.421,-0.177,53,89,0.654,0.612
0.6,358.7,0.179,0.67,-0.325,-0.183,62,99,0.21,0.247
0.7,344.8,0.161,0.627,-0.226,-0.19,76,115,0.304,0.458
0.8,333.5,0.146,0.546,-0.122,-0.203,95,134,0.124,0.439
0.9,329.3,0.139,0.473,-0.056,-0.22,108,157,0.428,1.055
1.0,328.7,0.126,0.349,0.001,-0.234,121,,1.658,2.86
