config,alpha,SECI,SECI_se,AECI-Var,AECI-Var_se,AECI-Err,AECI-Err_se,MAE,MAE_se,Unmet,Unmet_se,Precision,Precision_se
baseline,0.0,-0.232924,0.0253196,-0.274753,0.0261042,-0.0663598,0.0188476,1.25009,0.0255448,1.99667,0.245292,0.700131,0.026778
baseline,0.1,-0.215604,0.025906,-0.238502,0.0290199,-0.0526442,0.0211347,1.2539,0.0268216,2.05933,0.35317,0.710368,0.0275663
baseline,0.2,-0.198644,0.0254014,-0.20832,0.0265626,-0.0410868,0.0182731,1.2781,0.0289537,1.57533,0.255581,0.706462,0.0260053
baseline,0.3,-0.2345,0.0285833,-0.237539,0.0310867,-0.0269033,0.0203671,1.3119,0.0272231,1.386,0.216644,0.694086,0.0294525
baseline,0.4,-0.184364,0.0317329,-0.194688,0.0305957,-0.00994118,0.0163092,1.32193,0.0278549,0.638667,0.129148,0.713861,0.0281927
baseline,0.5,-0.20561,0.0268114,-0.211567,0.0278901,-0.0233566,0.0209318,1.45745,0.0262782,0.714667,0.139839,0.702571,0.0258258
baseline,0.6,-0.197847,0.0329029,-0.209477,0.0349144,-0.0391595,0.018986,1.51554,0.0260488,0.915333,0.139165,0.686554,0.0298533
baseline,0.7,-0.16035,0.0303427,-0.158668,0.030729,-0.0602072,0.0206979,1.56427,0.0248686,0.946667,0.159523,0.673081,0.0298929
baseline,0.8,-0.155899,0.0360647,-0.170003,0.0292276,-0.0768834,0.0242085,1.73349,0.0255427,2.09,0.25961,0.618127,0.0376322
baseline,0.9,-0.155012,0.0443694,-0.156547,0.0303254,0.0171892,0.0268067,1.95716,0.0295503,10.5093,0.630729,0.228892,0.0373914
baseline,1.0,-0.146791,0.0352202,-0.143061,0.030028,0.0105347,0.0244455,1.9666,0.0241257,10.9167,0.553664,0.224181,0.0371537
switches,0.0,-0.200234,0.0260784,-0.233762,0.0295666,-0.0116563,0.0207654,1.17286,0.0265569,1.18333,0.226574,0.775592,0.0252945
switches,0.1,-0.201866,0.0231905,-0.21918,0.0283227,-0.0207897,0.0161826,1.17745,0.0316391,1.17467,0.15804,0.768274,0.022166
switches,0.2,-0.180687,0.02667,-0.1794,0.0270634,-0.0393337,0.0152636,1.17596,0.0293252,0.824,0.137338,0.787006,0.0216968
switches,0.3,-0.181487,0.027455,-0.159741,0.025071,-0.0111183,0.0146322,1.20737,0.0289956,1.16733,0.269887,0.785235,0.0229485
switches,0.4,-0.184046,0.0311001,-0.142519,0.0224601,-0.0262788,0.0156941,1.23083,0.0308821,0.44,0.098788,0.781852,0.0246734
switches,0.5,-0.22366,0.0270774,-0.162119,0.0256942,-0.0169915,0.0174153,1.33361,0.0307867,0.618667,0.17508,0.763806,0.0231425
switches,0.6,-0.202691,0.0305443,-0.145564,0.0236368,-0.0433332,0.0164767,1.38603,0.0325538,0.79,0.128221,0.773496,0.0221856
switches,0.7,-0.195324,0.032712,-0.133551,0.0252624,-0.0616757,0.0206521,1.42033,0.0317724,0.396667,0.089264,0.764748,0.0245736
switches,0.8,-0.224494,0.040473,-0.134033,0.0315351,-0.0584888,0.0219797,1.59316,0.035724,1.084,0.163291,0.733709,0.028332
switches,0.9,-0.289227,0.0536851,-0.162131,0.031258,0.0359225,0.0276022,1.79658,0.0401915,2.632,0.510327,0.518075,0.0504257
switches,1.0,-0.320824,0.0501374,-0.120082,0.0301071,0.00815777,0.0303057,1.81928,0.0382323,2.98267,0.352326,0.516509,0.0495035
