alpha,seci,seci_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_var_norm,mae_norm,total_bubble_norm,total_score_norm
0,-0.232924,0.0253196,-0.274753,0.0261042,-0.0663598,0.0188476,1.25009,0.0255448,1.99667,0.700131,0.982031,1,0,1.98203,1.98203
0.1,-0.215604,0.025906,-0.238502,0.0290199,-0.0526442,0.0211347,1.2539,0.0268216,2.05933,0.710368,0.784559,0.724733,0.00531142,1.50929,1.5146
0.2,-0.198644,0.0254014,-0.20832,0.0265626,-0.0410868,0.0182731,1.2781,0.0289537,1.57533,0.706462,0.591188,0.495542,0.0390914,1.08673,1.12582
0.3,-0.2345,0.0285833,-0.237539,0.0310867,-0.0269033,0.0203671,1.3119,0.0272231,1.386,0.694086,1,0.717417,0.0862542,1.71742,1.80367
0.4,-0.184364,0.0317329,-0.194688,0.0305957,-0.00994118,0.0163092,1.32193,0.0278549,0.638667,0.713861,0.428379,0.392033,0.100261,0.820412,0.920673
0.5,-0.20561,0.0268114,-0.211567,0.0278901,-0.0233566,0.0209318,1.45745,0.0262782,0.714667,0.702571,0.67061,0.520199,0.289394,1.19081,1.4802
0.6,-0.197847,0.0329029,-0.209477,0.0349144,-0.0391595,0.018986,1.51554,0.0260488,0.915333,0.686554,0.582098,0.504329,0.370481,1.08643,1.45691
0.7,-0.16035,0.0303427,-0.158668,0.030729,-0.0602072,0.0206979,1.56427,0.0248686,0.946667,0.673081,0.154588,0.118514,0.438489,0.273103,0.711592
0.8,-0.155899,0.0360647,-0.170003,0.0292276,-0.0768834,0.0242085,1.73349,0.0255427,2.09,0.618127,0.103839,0.204583,0.674658,0.308422,0.98308
0.9,-0.155012,0.0443694,-0.156547,0.0303254,0.0171892,0.0268067,1.95716,0.0295503,10.5093,0.228892,0.093721,0.102405,0.986829,0.196126,1.18296
1,-0.146791,0.0352202,-0.143061,0.030028,0.0105347,0.0244455,1.9666,0.0241257,10.9167,0.224181,0,0,1,0,1
