alpha,seci,seci_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_var_norm,mae_norm,total_bubble_norm,total_score_norm
0,-0.200234,0.0260784,-0.233762,0.0295666,-0.0116563,0.0207654,1.17286,0.0265569,1.18333,0.775592,0.139484,1,0,1.13948,1.13948
0.1,-0.201866,0.0231905,-0.21918,0.0283227,-0.0207897,0.0161826,1.17745,0.0316391,1.17467,0.768274,0.151127,0.871733,0.00709704,1.02286,1.02996
0.2,-0.180687,0.02667,-0.1794,0.0270634,-0.0393337,0.0152636,1.17596,0.0293252,0.824,0.787006,0,0.521802,0.00479459,0.521802,0.526596
0.3,-0.181487,0.027455,-0.159741,0.025071,-0.0111183,0.0146322,1.20737,0.0289956,1.16733,0.785235,0.00570798,0.348869,0.0533862,0.354577,0.407964
0.4,-0.184046,0.0311001,-0.142519,0.0224601,-0.0262788,0.0156941,1.23083,0.0308821,0.44,0.781852,0.0239671,0.197371,0.0896737,0.221338,0.311011
0.5,-0.22366,0.0270774,-0.162119,0.0256942,-0.0169915,0.0174153,1.33361,0.0307867,0.618667,0.763806,0.30665,0.36978,0.248672,0.67643,0.925102
0.6,-0.202691,0.0305443,-0.145564,0.0236368,-0.0433332,0.0164767,1.38603,0.0325538,0.79,0.773496,0.157016,0.224155,0.329776,0.38117,0.710946
0.7,-0.195324,0.032712,-0.133551,0.0252624,-0.0616757,0.0206521,1.42033,0.0317724,0.396667,0.764748,0.104447,0.118485,0.382833,0.222932,0.605765
0.8,-0.224494,0.040473,-0.134033,0.0315351,-0.0584888,0.0219797,1.59316,0.035724,1.084,0.733709,0.312599,0.122724,0.650197,0.435323,1.08552
0.9,-0.289227,0.0536851,-0.162131,0.031258,0.0359225,0.0276022,1.79658,0.0401915,2.632,0.518075,0.77453,0.369888,0.964885,1.14442,2.1093
1,-0.320824,0.0501374,-0.120082,0.0301071,0.00815777,0.0303057,1.81928,0.0382323,2.98267,0.516509,1,0,1,1,2
