alpha,seci,seci_se,aeci_ie,aeci_ie_se,seci_ie,seci_ie_se,aeci_ie_chan,aeci_ie_chan_se,seci_ie_chan,seci_ie_chan_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_ie_norm,aeci_var_norm,mae_norm,total_bubble_ie_norm,total_score_ie_norm,total_bubble_norm,total_score_norm
0,-0.223343,0.026067,-0.116596,0.0454229,-0.187971,0.0432877,-0.325725,0.0394523,-0.296635,0.0382538,-0.220692,0.0281822,-0.0312445,0.02033,1.16915,0.028172,1.494,0.7671,0.377374,0,0.783374,0,0.377374,0.377374,1.16075,1.16075
0.1,-0.209308,0.0258795,-0.13825,0.042778,-0.188796,0.0460091,-0.314295,0.0394376,-0.307819,0.0418504,-0.248628,0.0312802,-0.0239274,0.0173624,1.17293,0.0269615,1.096,0.772715,0.260193,0.119499,1,0.0055554,0.379691,0.385247,1.26019,1.26575
0.2,-0.178144,0.0272398,-0.176018,0.0404859,-0.156014,0.040489,-0.297745,0.0348339,-0.28929,0.0385159,-0.19779,0.0250838,-0.018086,0.018339,1.1799,0.0280689,1.28133,0.791667,0,0.327926,0.605777,0.0157856,0.327926,0.343711,0.605777,0.621562
0.3,-0.190908,0.0285362,-0.137619,0.035947,-0.157384,0.0462793,-0.265585,0.0338364,-0.305614,0.0425708,-0.177344,0.0251593,-0.0133233,0.0156881,1.20037,0.0273051,0.914667,0.779634,0.106573,0.116017,0.44723,0.0458465,0.22259,0.268437,0.553803,0.599649
0.4,-0.203597,0.0302789,-0.184836,0.0335396,-0.17596,0.0466527,-0.275959,0.0294396,-0.324101,0.0430358,-0.188642,0.0252492,-0.027242,0.0142452,1.22603,0.03112,0.698667,0.767944,0.212513,0.376591,0.534846,0.08354,0.589104,0.672644,0.747359,0.830899
0.5,-0.224148,0.0275398,-0.2978,0.0313797,-0.227326,0.0455863,-0.232411,0.0272247,-0.312065,0.0421087,-0.171634,0.0214118,-0.0399412,0.0184687,1.3309,0.0295973,0.416,0.778878,0.38409,1,0.402952,0.237557,1.38409,1.62165,0.787042,1.0246
0.6,-0.200644,0.0329925,-0.187456,0.0337472,-0.190792,0.049748,-0.231345,0.0290769,-0.311198,0.0456567,-0.150831,0.0278111,-0.0250227,0.0211373,1.38014,0.0341046,0.757333,0.769712,0.187853,0.391048,0.241636,0.309876,0.578901,0.888777,0.429489,0.739365
0.7,-0.228631,0.0355825,-0.213971,0.0364783,-0.207835,0.0509212,-0.253534,0.0345236,-0.3228,0.0483701,-0.12171,0.0277661,-0.0300658,0.0191437,1.42175,0.0330342,0.222,0.748439,0.421526,0.537378,0.0158206,0.370984,0.958904,1.32989,0.437347,0.80833
0.8,-0.238489,0.0398493,-0.193951,0.0412963,-0.238184,0.0534013,-0.264611,0.0407777,-0.35652,0.0507974,-0.197792,0.0321825,-0.020701,0.0237167,1.61081,0.0377773,1.12933,0.707931,0.503832,0.426892,0.605799,0.648661,0.930723,1.57938,1.10963,1.75829
0.9,-0.297917,0.0520777,-0.120954,0.052878,-0.412863,0.0749865,-0.356413,0.0567261,-0.481536,0.069023,-0.11967,0.032773,0.0232988,0.028131,1.81567,0.0420513,2.944,0.497819,1,0.0240514,0,0.949538,1.02405,1.97359,1,1.94954
1,-0.274894,0.0507574,-0.147892,0.0621531,-0.370933,0.074845,-0.35048,0.0637055,-0.455594,0.0673366,-0.177092,0.0415419,0.0636803,0.02778,1.85003,0.0427423,3.07667,0.496595,0.80778,0.172709,0.445282,1,0.98049,1.98049,1.25306,2.25306
