alpha,seci,seci_se,aeci_ie,aeci_ie_se,seci_ie,seci_ie_se,aeci_ie_chan,aeci_ie_chan_se,seci_ie_chan,seci_ie_chan_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_ie_norm,aeci_var_norm,mae_norm,total_bubble_ie_norm,total_score_ie_norm,total_bubble_norm,total_score_norm
0,-0.191894,0.024909,-0.107028,0.0447091,-0.167647,0.0433613,-0.321772,0.0394766,-0.297904,0.040142,-0.211681,0.0288239,-0.0169258,0.0195479,1.16481,0.0275631,1.23733,0.78128,0.181719,0.104829,1,0,0.286549,0.286549,1.18172,1.18172
0.1,-0.183108,0.0265914,-0.104586,0.0429092,-0.174153,0.0439568,-0.292089,0.0400815,-0.303364,0.0400828,-0.201918,0.0232319,-0.0214726,0.0170493,1.18258,0.026195,1.10133,0.778485,0.0987505,0.0666624,0.925202,0.0284305,0.165413,0.193843,1.02395,1.05238
0.2,-0.21156,0.0282216,-0.147455,0.0377044,-0.180766,0.042929,-0.28767,0.0321623,-0.317736,0.0386362,-0.189425,0.0265131,-0.0211356,0.0158282,1.19757,0.0275032,1.18933,0.769032,0.367437,0.73683,0.829488,0.0524154,1.10427,1.15668,1.19693,1.24934
0.3,-0.186202,0.0286938,-0.154571,0.0369143,-0.150467,0.043956,-0.282755,0.0332886,-0.298571,0.0421621,-0.175105,0.025316,-0.00288698,0.0152128,1.21124,0.0327252,0.731333,0.785621,0.127973,0.848083,0.719779,0.07428,0.976056,1.05034,0.847752,0.922032
0.4,-0.188966,0.0289853,-0.149152,0.0324742,-0.158384,0.0445006,-0.274355,0.0293513,-0.311262,0.0415154,-0.127018,0.0219909,-0.0114205,0.0153606,1.24278,0.028504,0.912,0.776056,0.154074,0.763371,0.351374,0.124741,0.917445,1.04219,0.505447,0.630189
0.5,-0.192243,0.0299579,-0.164289,0.0347338,-0.154643,0.0445561,-0.272193,0.032629,-0.309025,0.0429455,-0.149745,0.0261476,-0.0216561,0.0159496,1.28128,0.0323361,0.468667,0.769729,0.185015,1,0.525488,0.186338,1.18502,1.37135,0.710503,0.896841
0.6,-0.172651,0.0317813,-0.100322,0.0339107,-0.157392,0.0481849,-0.246882,0.0336525,-0.313213,0.0482841,-0.0827458,0.01836,-0.0537924,0.0148588,1.34471,0.0317452,0.406667,0.760024,0,0,0.0121886,0.28781,0,0.28781,0.0121886,0.299999
0.7,-0.191747,0.036542,-0.12893,0.0355665,-0.160507,0.0484366,-0.260866,0.0375571,-0.326639,0.0488208,-0.107064,0.0282597,-0.00796663,0.0152624,1.44338,0.0318721,0.323333,0.751296,0.180334,0.447223,0.1985,0.445653,0.627558,1.07321,0.378834,0.824487
0.8,-0.206466,0.0440012,-0.130958,0.0412923,-0.202585,0.0555502,-0.303473,0.0444956,-0.35902,0.0554688,-0.0923248,0.0243266,-0.0280509,0.0204036,1.58613,0.0372636,0.598667,0.705161,0.319331,0.478927,0.0855759,0.674024,0.798258,1.47228,0.404907,1.07893
0.9,-0.215419,0.044696,-0.115701,0.04759,-0.250544,0.0658106,-0.337973,0.0488488,-0.394287,0.0622083,-0.0889096,0.0259205,-0.0253898,0.0246208,1.68955,0.0366508,1.162,0.640691,0.403876,0.240421,0.0594111,0.839461,0.644297,1.48376,0.463287,1.30275
1,-0.278544,0.0526674,-0.111074,0.0555004,-0.410932,0.0702602,-0.387841,0.052176,-0.463982,0.0652819,-0.0811549,0.0313683,-0.0466125,0.0327958,1.7899,0.0348184,2.31667,0.501988,1,0.168089,0,1,1.16809,2.16809,1,2
