outcome,alpha,delta,ci_lo,ci_hi,p_holm,n
SECI (exploit),0.8,-0.115147,-0.188007,-0.0422877,0.00258,50
SECI (exploit),0.9,-0.168803,-0.234086,-0.10352,7.87e-06,50
SECI (exploit),1.0,-0.269214,-0.349653,-0.188775,5.3e-08,50
SECI (explor),0.8,-0.0824439,-0.132773,-0.0321152,0.00474,50
SECI (explor),0.9,-0.103155,-0.16511,-0.0412005,0.00474,50
SECI (explor),1.0,-0.0542065,-0.132889,0.024476,0.172,50
AECI-IE (exploit),0.8,-0.0669196,-0.154714,0.0208751,0.132,50
AECI-IE (exploit),0.9,-0.08408,-0.161784,-0.00637586,0.0691,50
AECI-IE (exploit),1.0,-0.210037,-0.287488,-0.132587,4.88e-06,50
AECI-IE (explor),0.8,0.0265731,-0.000438023,0.0535841,0.0537,50
AECI-IE (explor),0.9,0.0576382,0.0166118,0.0986647,0.0137,50
AECI-IE (explor),1.0,0.251491,0.162096,0.340886,2.39e-06,50
AECI-IE-chan (exploit),0.8,-0.14013,-0.210998,-0.0692621,0.000232,50
AECI-IE-chan (exploit),0.9,-0.189208,-0.254314,-0.124103,8.24e-07,50
AECI-IE-chan (exploit),1.0,-0.341227,-0.404218,-0.278235,3.35e-14,50
AECI-IE-chan (explor),0.8,0.00055986,-0.0530148,0.0541345,0.991,50
AECI-IE-chan (explor),0.9,0.0245049,-0.0472452,0.096255,0.991,50
AECI-IE-chan (explor),1.0,0.229001,0.148196,0.309805,2.06e-06,50
MAE (exploit),0.8,-0.0682111,-0.111669,-0.0247528,0.0055,50
MAE (exploit),0.9,-0.0482517,-0.0900644,-0.00643888,0.0246,50
MAE (exploit),1.0,-0.0668346,-0.107331,-0.0263378,0.00517,50
MAE (explor),0.8,-0.18784,-0.229924,-0.145755,1.96e-11,50
MAE (explor),0.9,-0.168757,-0.212094,-0.12542,7.07e-10,50
MAE (explor),1.0,-0.178112,-0.229191,-0.127033,6.46e-09,50
Unmet needs,0.8,-0.782667,-1.04586,-0.519471,2.55e-07,50
Unmet needs,0.9,-2.21413,-2.6954,-1.73287,5.1e-12,50
Unmet needs,1.0,-6.55867,-7.57741,-5.53992,6.05e-17,50
Precision (exploit),0.8,0.126735,0.0433564,0.210113,0.00424,50
Precision (exploit),0.9,0.133825,0.0509523,0.216697,0.00424,50
Precision (exploit),1.0,0.151576,0.0651434,0.238008,0.00279,50
Precision (explor),0.8,0.0707612,0.0494013,0.0921212,2.25e-08,50
Precision (explor),0.9,0.142018,0.105315,0.178721,8.42e-10,50
Precision (explor),1.0,0.332478,0.258882,0.406073,1.35e-11,50
