point_id,agent_type,partner,alpha,seed,fb0,fbT,partner_fb0
lhs001,exploitative,ai,0.0,0,2.0689655172413794,2.0344827586206895,0.0
lhs001,exploitative,ai,0.0,1,2.0689655172413794,2.0689655172413794,0.0
lhs001,exploitative,ai,0.25,0,2.0689655172413794,2.0689655172413794,0.0
lhs001,exploitative,ai,0.25,1,2.0689655172413794,2.0689655172413794,0.0
lhs001,exploitative,ai,0.5,0,2.0689655172413794,2.0689655172413794,0.0
lhs001,exploitative,ai,0.5,1,2.0689655172413794,2.0689655172413794,0.0
lhs001,exploitative,ai,0.75,0,2.0689655172413794,2.0689655172413794,0.0
lhs001,exploitative,ai,0.75,1,2.0689655172413794,2.0689655172413794,0.0
lhs001,exploitative,ai,1.0,0,2.0689655172413794,2.0689655172413794,0.0
lhs001,exploitative,ai,1.0,1,2.0689655172413794,2.0689655172413794,0.0
lhs001,exploitative,human,,0,2.0689655172413794,2.0689655172413794,0.0
lhs001,exploitative,human,,1,2.0689655172413794,1.4827586206896552,0.0
lhs001,exploratory,ai,0.0,0,2.0689655172413794,1.4137931034482758,0.0
lhs001,exploratory,ai,0.0,1,2.0689655172413794,1.4482758620689655,0.0
lhs001,exploratory,ai,0.25,0,2.0689655172413794,1.6206896551724137,0.0
lhs001,exploratory,ai,0.25,1,2.0689655172413794,1.5172413793103448,0.0
lhs001,exploratory,ai,0.5,0,2.0689655172413794,2.0,0.0
lhs001,exploratory,ai,0.5,1,2.0689655172413794,1.9310344827586208,0.0
lhs001,exploratory,ai,0.75,0,2.0689655172413794,2.0689655172413794,0.0
lhs001,exploratory,ai,0.75,1,2.0689655172413794,2.0689655172413794,0.0
lhs001,exploratory,ai,1.0,0,2.0689655172413794,2.0689655172413794,0.0
lhs001,exploratory,ai,1.0,1,2.0689655172413794,2.0689655172413794,0.0
lhs001,exploratory,human,,0,2.0689655172413794,1.0344827586206897,0.0
lhs001,exploratory,human,,1,2.0689655172413794,0.9655172413793104,0.0
lhs000,exploitative,ai,0.0,0,2.0689655172413794,2.0344827586206895,0.0
lhs000,exploitative,ai,0.0,1,2.0689655172413794,2.0689655172413794,0.0
lhs000,exploitative,ai,0.25,0,2.0689655172413794,2.0689655172413794,0.0
lhs000,exploitative,ai,0.25,1,2.0689655172413794,2.0689655172413794,0.0
lhs000,exploitative,ai,0.5,0,2.0689655172413794,2.0689655172413794,0.0
lhs000,exploitative,ai,0.5,1,2.0689655172413794,2.0689655172413794,0.0
lhs000,exploitative,ai,0.75,0,2.0689655172413794,2.0689655172413794,0.0
lhs000,exploitative,ai,0.75,1,2.0689655172413794,2.0689655172413794,0.0
lhs000,exploitative,ai,1.0,0,2.0689655172413794,2.0689655172413794,0.0
lhs000,exploitative,ai,1.0,1,2.0689655172413794,2.0689655172413794,0.0
lhs000,exploitative,human,,0,2.0689655172413794,2.0344827586206895,0.0
lhs000,exploitative,human,,1,2.0689655172413794,1.3793103448275863,0.0
lhs000,exploratory,ai,0.0,0,2.0689655172413794,1.3448275862068966,0.0
lhs000,exploratory,ai,0.0,1,2.0689655172413794,1.5172413793103448,0.0
lhs000,exploratory,ai,0.25,0,2.0689655172413794,1.3448275862068966,0.0
lhs000,exploratory,ai,0.25,1,2.0689655172413794,1.6206896551724137,0.0
lhs000,exploratory,ai,0.5,0,2.0689655172413794,1.4827586206896552,0.0
lhs000,exploratory,ai,0.5,1,2.0689655172413794,1.9310344827586208,0.0
lhs000,exploratory,ai,0.75,0,2.0689655172413794,1.7241379310344827,0.0
lhs000,exploratory,ai,0.75,1,2.0689655172413794,2.0689655172413794,0.0
lhs000,exploratory,ai,1.0,0,2.0689655172413794,2.0689655172413794,0.0
lhs000,exploratory,ai,1.0,1,2.0689655172413794,2.0689655172413794,0.0
lhs000,exploratory,human,,0,2.0689655172413794,1.4827586206896552,0.0
lhs000,exploratory,human,,1,2.0689655172413794,1.4827586206896552,0.0
default,exploitative,ai,0.0,0,2.0689655172413794,2.0344827586206895,0.0
default,exploitative,ai,0.0,1,2.0689655172413794,2.0689655172413794,0.0
default,exploitative,ai,0.25,0,2.0689655172413794,2.0689655172413794,0.0
default,exploitative,ai,0.25,1,2.0689655172413794,2.0689655172413794,0.0
default,exploitative,ai,0.5,0,2.0689655172413794,2.0689655172413794,0.0
default,exploitative,ai,0.5,1,2.0689655172413794,2.0689655172413794,0.0
default,exploitative,ai,0.75,0,2.0689655172413794,2.0689655172413794,0.0
default,exploitative,ai,0.75,1,2.0689655172413794,2.0689655172413794,0.0
