config,alpha,SECI,SECI_se,AECI-IE,AECI-IE_se,SECI-IE,SECI-IE_se,AECI-IE-chan,AECI-IE-chan_se,SECI-IE-chan,SECI-IE-chan_se,AECI-IE-rel,AECI-IE-rel_se,Reliance,Reliance_se,Eff-alpha,Eff-alpha_se,AECI-Var,AECI-Var_se,AECI-Err,AECI-Err_se,MAE,MAE_se,Unmet,Unmet_se,Precision,Precision_se
baseline,0.0,-0.235578,0.023581,-0.0870996,0.0561506,-0.181739,0.0551384,-0.274774,0.0529129,-0.259964,0.0474589,-0.0929943,0.0547012,0.534597,0.0150846,0,0,-0.266064,0.0257332,-0.0536109,0.0198485,1.25358,0.0277643,2.168,0.338997,0.69956,0.0267873
baseline,0.1,-0.213259,0.0262844,-0.111961,0.051426,-0.182758,0.0557469,-0.266663,0.0495501,-0.254727,0.0487905,-0.105947,0.0509207,0.533243,0.0150989,0.0039552,0.000906578,-0.239979,0.0294072,-0.0674493,0.0194897,1.24373,0.0246456,1.77867,0.373212,0.717322,0.0281909
baseline,0.2,-0.227503,0.0272641,-0.173269,0.0490825,-0.197452,0.0591261,-0.272766,0.0421303,-0.276229,0.0525373,-0.142344,0.0469731,0.529941,0.01512,0.0388091,0.00483497,-0.235802,0.0294165,-0.0401261,0.0177933,1.27334,0.027298,1.81,0.271934,0.69783,0.0291171
baseline,0.3,-0.190705,0.0274838,-0.127596,0.0457733,-0.156334,0.0553224,-0.230701,0.0452099,-0.241865,0.051446,-0.128479,0.0451898,0.561447,0.0156122,0.11977,0.00905225,-0.206116,0.0292616,-0.031026,0.0156398,1.29501,0.0268215,1.232,0.204459,0.711263,0.0264527
baseline,0.4,-0.191094,0.0307732,-0.175716,0.0459113,-0.155105,0.0566054,-0.261351,0.0431484,-0.257393,0.0531054,-0.174594,0.0458356,0.570732,0.0149309,0.133959,0.0114239,-0.184065,0.0334892,-0.0230947,0.0145631,1.31077,0.0261232,0.606667,0.108141,0.711646,0.029783
baseline,0.5,-0.199543,0.0265803,-0.267534,0.0358843,-0.214249,0.0520705,-0.20487,0.0324185,-0.250393,0.0468874,-0.163138,0.0350783,0.586747,0.0131502,0.620194,0.0127718,-0.182626,0.0301329,-0.0137328,0.0190767,1.46041,0.0267549,0.486667,0.114352,0.708416,0.0287019
baseline,0.6,-0.175288,0.0287328,-0.174135,0.0431246,-0.173251,0.0538488,-0.199909,0.0410554,-0.240059,0.0517136,-0.123089,0.0401374,0.594365,0.0138338,0.829765,0.011107,-0.181978,0.0282791,-0.0339724,0.0181006,1.52179,0.023075,1.076,0.174268,0.69219,0.0262669
baseline,0.7,-0.167422,0.0307832,-0.222637,0.0431594,-0.207722,0.0567165,-0.245139,0.0400325,-0.260803,0.053403,-0.183774,0.0409298,0.595866,0.0130463,0.847707,0.0112521,-0.168654,0.0334471,-0.0373537,0.0202231,1.58089,0.0270232,0.815333,0.128459,0.662172,0.028931
baseline,0.8,-0.170911,0.0397987,-0.191305,0.0478876,-0.230139,0.0611893,-0.231159,0.0464916,-0.274347,0.0554444,-0.138709,0.0397705,0.595775,0.0137787,0.935586,0.00608418,-0.17958,0.0320682,-0.0594007,0.0228178,1.73907,0.024602,2.072,0.202197,0.609344,0.0348486
baseline,0.9,-0.148578,0.0446424,-0.198819,0.0691824,-0.449136,0.074911,-0.370208,0.0682474,-0.352991,0.0725677,-0.311574,0.0649211,0.586284,0.0130374,1,0,-0.169249,0.0274929,-0.00866244,0.0265217,1.96541,0.0315349,9.93867,0.610174,0.226353,0.0354971
baseline,1.0,-0.129584,0.0375766,-0.180235,0.0674152,-0.440893,0.0749562,-0.340757,0.0669844,-0.360968,0.0706445,-0.291948,0.0668572,0.579446,0.0129757,1,0,-0.140311,0.0307959,-0.0357579,0.0273619,1.94612,0.0261105,10.5327,0.519753,0.219664,0.0383336
switches,0.0,-0.203095,0.0227238,-0.101244,0.0415369,-0.178322,0.043679,-0.315225,0.0380694,-0.2947,0.0388646,-0.111588,0.0414169,0.474081,0.018957,0,0,-0.227491,0.0283089,-0.0105126,0.017835,1.16953,0.0268167,1.11067,0.170794,0.776804,0.0233099
switches,0.1,-0.198596,0.023695,-0.145168,0.0427757,-0.178935,0.043098,-0.315766,0.0394995,-0.297499,0.0386676,-0.130156,0.0390874,0.469062,0.016541,0.00458198,0.000997513,-0.207531,0.0283504,-0.0266771,0.0175265,1.17952,0.0302422,1.38067,0.175078,0.769332,0.0225699
switches,0.2,-0.201441,0.0283242,-0.194975,0.0407549,-0.173013,0.0471314,-0.31783,0.0347409,-0.318529,0.0424127,-0.139053,0.0384153,0.4837,0.0171126,0.0475599,0.00457711,-0.195745,0.0264504,-0.00466368,0.0182039,1.17986,0.029403,1.37333,0.231525,0.781332,0.0254503
switches,0.3,-0.183786,0.0281692,-0.15687,0.0347622,-0.160231,0.0456772,-0.282193,0.0318617,-0.302353,0.0417685,-0.139358,0.03373,0.5092,0.0179951,0.137154,0.00674044,-0.1975,0.0287374,-0.0269205,0.0201316,1.22227,0.0314943,1.272,0.234944,0.784087,0.0228239
switches,0.4,-0.20134,0.0293186,-0.186369,0.0339282,-0.168235,0.0430752,-0.294855,0.0315828,-0.316642,0.0412229,-0.133968,0.0339511,0.519297,0.0168254,0.15679,0.00832593,-0.146249,0.0223176,-0.0154529,0.0127772,1.21481,0.0313794,0.483333,0.133045,0.776077,0.0241147
switches,0.5,-0.204813,0.0278521,-0.272995,0.032253,-0.208538,0.0458496,-0.220042,0.0288084,-0.314004,0.0415131,-0.179219,0.0308002,0.553714,0.0153281,0.599318,0.0103962,-0.130279,0.0237307,-0.0400541,0.0206007,1.32858,0.0303623,0.502667,0.103294,0.782273,0.0231592
switches,0.6,-0.192927,0.0304259,-0.173814,0.0321373,-0.194989,0.0459186,-0.244398,0.0319572,-0.325345,0.0436203,-0.0994966,0.0289096,0.591128,0.014603,0.813047,0.00673946,-0.102877,0.0242678,-0.0272124,0.0183858,1.38278,0.0331069,0.672,0.137933,0.769874,0.0223738
switches,0.7,-0.224537,0.0343168,-0.214301,0.0351924,-0.204319,0.0500939,-0.259957,0.034369,-0.320174,0.0486814,-0.117527,0.0292084,0.601268,0.0115553,0.823702,0.00631239,-0.144541,0.0249751,0.00557306,0.0173817,1.41174,0.0331868,0.380667,0.0857385,0.748148,0.0242275
switches,0.8,-0.215963,0.0386275,-0.175228,0.0428494,-0.21882,0.0545144,-0.298205,0.041316,-0.346938,0.0518758,-0.0888844,0.0300226,0.601634,0.0134443,0.929661,0.00497238,-0.128027,0.0316559,-0.0376893,0.0252414,1.62028,0.0366816,0.787333,0.141882,0.71257,0.0289748
switches,0.9,-0.299492,0.0558229,-0.14353,0.0594681,-0.395872,0.0713334,-0.412468,0.0552709,-0.470489,0.0649073,-0.158958,0.0476248,0.604427,0.0149831,0.999999,1.44397e-06,-0.117169,0.0341229,-0.0316408,0.0326155,1.80216,0.0384534,2.71667,0.477644,0.498202,0.0488022
switches,1.0,-0.299859,0.0533937,-0.109523,0.0542178,-0.376195,0.0736481,-0.396317,0.0556188,-0.468468,0.0678558,-0.131398,0.0448644,0.602543,0.0133058,1,0,-0.124101,0.0320212,-0.0119048,0.03731,1.80526,0.0408056,3.078,0.438933,0.490988,0.0504362
