alpha,seci,seci_se,aeci_ie,aeci_ie_se,seci_ie,seci_ie_se,aeci_ie_chan,aeci_ie_chan_se,seci_ie_chan,seci_ie_chan_se,aeci_ie_rel,aeci_ie_rel_se,seci_ie_rel,seci_ie_rel_se,ai_reliance,ai_reliance_se,effective_alpha,effective_alpha_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_ie_norm,aeci_var_norm,mae_norm,total_bubble_ie_norm,total_score_ie_norm,total_bubble_norm,total_score_norm
0,-0.235578,0.023581,-0.0870996,0.0561506,-0.181739,0.0551384,-0.274774,0.0529129,-0.259964,0.0474589,-0.0929943,0.0547012,-0.143466,0.0543405,0.534597,0.0150846,0,0,-0.266064,0.0257332,-0.0536109,0.0198485,1.25358,0.0277643,2.168,0.69956,1,0,1,0.0136458,1,1.01365,2,2.01365
0.1,-0.213259,0.0262844,-0.111961,0.051426,-0.182758,0.0557469,-0.266663,0.0495501,-0.254727,0.0487905,-0.105947,0.0509207,-0.153216,0.0525516,0.533243,0.0150989,0.0039552,0.000906578,-0.239979,0.0294072,-0.0674493,0.0194897,1.24373,0.0246456,1.77867,0.717322,0.789435,0.137786,0.792574,0,0.927222,0.927222,1.58201,1.58201
0.2,-0.227503,0.0272641,-0.173269,0.0490825,-0.197452,0.0591261,-0.272766,0.0421303,-0.276229,0.0525373,-0.142344,0.0469731,-0.161516,0.0545328,0.529941,0.01512,0.0388091,0.00483497,-0.235802,0.0294165,-0.0401261,0.0177933,1.27334,0.027298,1.81,0.69783,0.923819,0.477568,0.759356,0.0410217,1.40139,1.44241,1.68317,1.7242
0.3,-0.190705,0.0274838,-0.127596,0.0457733,-0.156334,0.0553224,-0.230701,0.0452099,-0.241865,0.051446,-0.128479,0.0451898,-0.152322,0.0526291,0.561447,0.0156122,0.11977,0.00905225,-0.206116,0.0292616,-0.031026,0.0156398,1.29501,0.0268215,1.232,0.711263,0.576646,0.224436,0.523289,0.0710577,0.801082,0.87214,1.09993,1.17099
0.4,-0.191094,0.0307732,-0.175716,0.0459113,-0.155105,0.0566054,-0.261351,0.0431484,-0.257393,0.0531054,-0.174594,0.0458356,-0.157708,0.0517257,0.570732,0.0149309,0.133959,0.0114239,-0.184065,0.0334892,-0.0230947,0.0145631,1.31077,0.0261232,0.606667,0.711646,0.58032,0.491127,0.347939,0.092895,1.07145,1.16434,0.928259,1.02115
0.5,-0.199543,0.0265803,-0.267534,0.0358843,-0.214249,0.0520705,-0.20487,0.0324185,-0.250393,0.0468874,-0.163138,0.0350783,-0.186527,0.0492748,0.586747,0.0131502,0.620194,0.0127718,-0.182626,0.0301329,-0.0137328,0.0190767,1.46041,0.0267549,0.486667,0.708416,0.660028,1,0.336491,0.300242,1.66003,1.96027,0.996519,1.29676
0.6,-0.175288,0.0287328,-0.174135,0.0431246,-0.173251,0.0538488,-0.199909,0.0410554,-0.240059,0.0517136,-0.123089,0.0401374,-0.174239,0.051292,0.594365,0.0138338,0.829765,0.011107,-0.181978,0.0282791,-0.0339724,0.0181006,1.52179,0.023075,1.076,0.69219,0.431193,0.482368,0.33134,0.385288,0.913562,1.29885,0.762533,1.14782
0.7,-0.167422,0.0307832,-0.222637,0.0431594,-0.207722,0.0567165,-0.245139,0.0400325,-0.260803,0.053403,-0.183774,0.0409298,-0.210512,0.0542983,0.595866,0.0130463,0.847707,0.0112521,-0.168654,0.0334471,-0.0373537,0.0202231,1.58089,0.0270232,0.815333,0.662172,0.35698,0.751174,0.225391,0.467191,1.10815,1.57535,0.582371,1.04956
0.8,-0.170911,0.0397987,-0.191305,0.0478876,-0.230139,0.0611893,-0.231159,0.0464916,-0.274347,0.0554444,-0.138709,0.0397705,-0.255009,0.0567821,0.595775,0.0137787,0.935586,0.00608418,-0.17958,0.0320682,-0.0594007,0.0228178,1.73907,0.024602,2.072,0.609344,0.389896,0.577528,0.312274,0.686369,0.967424,1.65379,0.702171,1.38854
0.9,-0.148578,0.0446424,-0.198819,0.0691824,-0.449136,0.074911,-0.370208,0.0682474,-0.352991,0.0725677,-0.311574,0.0649211,-0.543765,0.0625438,0.586284,0.0130374,1,0,-0.169249,0.0274929,-0.00866244,0.0265217,1.96541,0.0315349,9.93867,0.226353,0.179197,0.619168,0.230114,1,0.798366,1.79837,0.409312,1.40931
1,-0.129584,0.0375766,-0.180235,0.0674152,-0.440893,0.0749562,-0.340757,0.0669844,-0.360968,0.0706445,-0.291948,0.0668572,-0.539178,0.0622088,0.579446,0.0129757,1,0,-0.140311,0.0307959,-0.0357579,0.0273619,1.94612,0.0261105,10.5327,0.219664,0,0.516173,0,0.973272,0.516173,1.48944,0,0.973272
