alpha,seci,seci_se,aeci_ie,aeci_ie_se,seci_ie,seci_ie_se,aeci_ie_chan,aeci_ie_chan_se,seci_ie_chan,seci_ie_chan_se,aeci_ie_rel,aeci_ie_rel_se,seci_ie_rel,seci_ie_rel_se,ai_reliance,ai_reliance_se,effective_alpha,effective_alpha_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_ie_norm,aeci_var_norm,mae_norm,total_bubble_ie_norm,total_score_ie_norm,total_bubble_norm,total_score_norm
0,-0.203095,0.0227238,-0.101244,0.0415369,-0.178322,0.043679,-0.315225,0.0380694,-0.2947,0.0388646,-0.111588,0.0414169,-0.151345,0.0391054,0.474081,0.018957,0,0,-0.227491,0.0283089,-0.0105126,0.017835,1.16953,0.0268167,1.11067,0.776804,0.166347,0,1,0,0.166347,0.166347,1.16635,1.16635
0.1,-0.198596,0.023695,-0.145168,0.0427757,-0.178935,0.043098,-0.315766,0.0394995,-0.297499,0.0386676,-0.130156,0.0390874,-0.144027,0.0381913,0.469062,0.016541,0.00458198,0.000997513,-0.207531,0.0283504,-0.0266771,0.0175265,1.17952,0.0302422,1.38067,0.769332,0.127592,0.255741,0.839825,0.0157243,0.383333,0.399057,0.967417,0.983141
0.2,-0.201441,0.0283242,-0.194975,0.0407549,-0.173013,0.0471314,-0.31783,0.0347409,-0.318529,0.0424127,-0.139053,0.0384153,-0.149193,0.0411801,0.4837,0.0171126,0.0475599,0.00457711,-0.195745,0.0264504,-0.00466368,0.0182039,1.17986,0.029403,1.37333,0.781332,0.152097,0.545739,0.745244,0.016257,0.697836,0.714093,0.897341,0.913598
0.3,-0.183786,0.0281692,-0.15687,0.0347622,-0.160231,0.0456772,-0.282193,0.0318617,-0.302353,0.0417685,-0.139358,0.03373,-0.161886,0.039826,0.5092,0.0179951,0.137154,0.00674044,-0.1975,0.0287374,-0.0269205,0.0201316,1.22227,0.0314943,1.272,0.784087,0,0.323873,0.759329,0.0829576,0.323873,0.406831,0.759329,0.842287
0.4,-0.20134,0.0293186,-0.186369,0.0339282,-0.168235,0.0430752,-0.294855,0.0315828,-0.316642,0.0412229,-0.133968,0.0339511,-0.151389,0.0396235,0.519297,0.0168254,0.15679,0.00832593,-0.146249,0.0223176,-0.0154529,0.0127772,1.21481,0.0313794,0.483333,0.776077,0.151227,0.495627,0.34805,0.0712381,0.646854,0.718092,0.499277,0.570515
0.5,-0.204813,0.0278521,-0.272995,0.032253,-0.208538,0.0458496,-0.220042,0.0288084,-0.314004,0.0415131,-0.179219,0.0308002,-0.182572,0.0402465,0.553714,0.0153281,0.599318,0.0103962,-0.130279,0.0237307,-0.0400541,0.0206007,1.32858,0.0303623,0.502667,0.782273,0.181149,1,0.219897,0.250183,1.18115,1.43133,0.401047,0.65123
0.6,-0.192927,0.0304259,-0.173814,0.0321373,-0.194989,0.0459186,-0.244398,0.0319572,-0.325345,0.0436203,-0.0994966,0.0289096,-0.187266,0.0412621,0.591128,0.014603,0.813047,0.00673946,-0.102877,0.0242678,-0.0272124,0.0183858,1.38278,0.0331069,0.672,0.769874,0.0787455,0.422529,0,0.335451,0.501275,0.836726,0.0787455,0.414197
0.7,-0.224537,0.0343168,-0.214301,0.0351924,-0.204319,0.0500939,-0.259957,0.034369,-0.320174,0.0486814,-0.117527,0.0292084,-0.19121,0.044652,0.601268,0.0115553,0.823702,0.00631239,-0.144541,0.0249751,0.00557306,0.0173817,1.41174,0.0331868,0.380667,0.748148,0.351077,0.65826,0.334348,0.381003,1.00934,1.39034,0.685425,1.06643
0.8,-0.215963,0.0386275,-0.175228,0.0428494,-0.21882,0.0545144,-0.298205,0.041316,-0.346938,0.0518758,-0.0888844,0.0300226,-0.2137,0.0442158,0.601634,0.0134443,0.929661,0.00497238,-0.128027,0.0316559,-0.0376893,0.0252414,1.62028,0.0366816,0.787333,0.71257,0.277207,0.430763,0.201826,0.709027,0.707971,1.417,0.479033,1.18806
0.9,-0.299492,0.0558229,-0.14353,0.0594681,-0.395872,0.0713334,-0.412468,0.0552709,-0.470489,0.0649073,-0.158958,0.0476248,-0.384989,0.0537446,0.604427,0.0149831,0.999999,1.44397e-06,-0.117169,0.0341229,-0.0316408,0.0326155,1.80216,0.0384534,2.71667,0.498202,0.996841,0.246204,0.114691,0.995121,1.24304,2.23817,1.11153,2.10665
1,-0.299859,0.0533937,-0.109523,0.0542178,-0.376195,0.0736481,-0.396317,0.0556188,-0.468468,0.0678558,-0.131398,0.0448644,-0.385874,0.0540619,0.602543,0.0133058,1,0,-0.124101,0.0320212,-0.0119048,0.03731,1.80526,0.0408056,3.078,0.490988,1,0.0481984,0.17032,1,1.0482,2.0482,1.17032,2.17032
