config,alpha,SECI,SECI_se,AECI-IE,AECI-IE_se,SECI-IE,SECI-IE_se,AECI-IE-chan,AECI-IE-chan_se,SECI-IE-chan,SECI-IE-chan_se,AECI-Var,AECI-Var_se,AECI-Err,AECI-Err_se,MAE,MAE_se,Unmet,Unmet_se,Precision,Precision_se
baseline,0.0,-0.222374,0.025395,-0.0854098,0.0541607,-0.172786,0.0539276,-0.267817,0.0509886,-0.252868,0.0502564,-0.262402,0.0244528,-0.0523181,0.0190361,1.25808,0.0261923,2.21533,0.312153,0.712731,0.0282117
baseline,0.1,-0.216367,0.0252795,-0.104698,0.0519969,-0.185291,0.0585467,-0.267717,0.0483833,-0.260056,0.0515714,-0.239749,0.0238714,-0.0540601,0.0193664,1.27001,0.0260833,1.81667,0.250994,0.710993,0.0274789
baseline,0.2,-0.220422,0.0256147,-0.14328,0.049052,-0.190482,0.0546839,-0.263141,0.0431228,-0.26535,0.0460777,-0.229879,0.0277613,-0.0453808,0.0155847,1.28655,0.0284902,1.44867,0.269414,0.699887,0.0283809
baseline,0.3,-0.204014,0.0271875,-0.15438,0.0464197,-0.171489,0.0558796,-0.241849,0.0410051,-0.256188,0.0507169,-0.231429,0.0293568,-0.0239862,0.0160456,1.30998,0.02555,1.364,0.27431,0.695195,0.0270994
baseline,0.4,-0.189368,0.0274576,-0.145003,0.0403945,-0.149887,0.0537651,-0.231658,0.0377308,-0.25054,0.049953,-0.18832,0.0282608,-0.0247801,0.0141656,1.35395,0.0274121,0.65,0.143988,0.711266,0.0276814
baseline,0.5,-0.192638,0.0292949,-0.185149,0.0417497,-0.16258,0.0560456,-0.239892,0.0360908,-0.255859,0.052171,-0.196275,0.0341803,-0.0305017,0.0169871,1.41425,0.0268452,0.61,0.169854,0.694332,0.0285206
baseline,0.6,-0.177372,0.0302193,-0.156474,0.0408466,-0.176061,0.0587763,-0.224118,0.0373236,-0.263415,0.0527275,-0.172651,0.0281133,-0.0402831,0.0160337,1.50131,0.0282544,0.432,0.104314,0.676981,0.0285496
baseline,0.7,-0.135211,0.0331985,-0.138834,0.0430228,-0.184681,0.060019,-0.199189,0.0416931,-0.268305,0.055329,-0.147748,0.0319138,-0.0207722,0.0204242,1.59099,0.0247799,0.664667,0.127333,0.659152,0.0306861
baseline,0.8,-0.104008,0.0325417,-0.110971,0.0412903,-0.196418,0.0609936,-0.217674,0.0433978,-0.276729,0.0594388,-0.123701,0.0300228,-0.0271741,0.0208385,1.71158,0.0247056,1.31933,0.170603,0.592082,0.0336406
baseline,0.9,-0.0809608,0.0346566,-0.106552,0.0443392,-0.240054,0.0682146,-0.244558,0.0521206,-0.307341,0.0650445,-0.101619,0.0240766,-0.0319328,0.0228645,1.85996,0.0286155,3.31267,0.258388,0.494152,0.039613
baseline,1.0,-0.136976,0.0358492,-0.185998,0.0608,-0.441691,0.0726354,-0.334225,0.0626199,-0.381612,0.0733504,-0.132945,0.0273697,0.0247665,0.023362,1.96142,0.0309628,10.1527,0.575276,0.21917,0.0377778
switches,0.0,-0.215623,0.0249276,-0.117955,0.0453379,-0.203015,0.0434457,-0.328289,0.0412689,-0.309841,0.0400203,-0.245569,0.0314323,-0.0215658,0.0179522,1.17295,0.0265518,1.41267,0.252253,0.776542,0.0204293
switches,0.1,-0.197911,0.0244311,-0.133827,0.0426361,-0.1853,0.0446656,-0.315666,0.0402572,-0.311209,0.0409425,-0.218025,0.0228554,-0.0254534,0.0155168,1.18224,0.0280852,1.42867,0.261612,0.777815,0.0225196
switches,0.2,-0.18512,0.0266286,-0.138409,0.0375505,-0.165088,0.0436721,-0.286804,0.0346678,-0.304779,0.0413514,-0.198255,0.0271559,-0.0178336,0.0183216,1.19776,0.0296791,0.975333,0.164973,0.7822,0.0232057
switches,0.3,-0.190481,0.0280204,-0.171076,0.0378767,-0.168314,0.0439285,-0.286115,0.0349763,-0.30861,0.0400531,-0.199814,0.0278005,-0.0207781,0.0153978,1.21846,0.0294976,0.815333,0.161314,0.773127,0.0241403
switches,0.4,-0.190302,0.0290361,-0.163892,0.0356211,-0.168466,0.0466988,-0.267934,0.0311395,-0.301221,0.0438991,-0.141634,0.0232907,-0.0223355,0.0202359,1.24934,0.0286532,0.798667,0.183308,0.77585,0.0226635
switches,0.5,-0.184757,0.0287223,-0.158366,0.034992,-0.155464,0.0430709,-0.261396,0.030798,-0.298569,0.0427905,-0.135732,0.0232507,-0.0194466,0.0177724,1.28281,0.0317193,0.532,0.102698,0.773273,0.0221192
switches,0.6,-0.188186,0.0347946,-0.133792,0.0374963,-0.146658,0.0471646,-0.246822,0.0355439,-0.311413,0.0471805,-0.122894,0.0287385,-0.0258798,0.0173457,1.36288,0.0326134,0.488667,0.121146,0.760861,0.0254725
switches,0.7,-0.207736,0.0388109,-0.158933,0.0370718,-0.160996,0.050063,-0.254056,0.0361066,-0.321638,0.0502188,-0.138632,0.0268223,-0.0361831,0.016796,1.44475,0.033374,0.274,0.0629228,0.730717,0.0275505
switches,0.8,-0.205265,0.0432598,-0.150337,0.0434762,-0.192031,0.0540456,-0.26697,0.042321,-0.354522,0.0544177,-0.138765,0.0282492,-0.0339492,0.0172542,1.56635,0.0341375,0.544667,0.10795,0.699592,0.0278801
switches,0.9,-0.20069,0.041392,-0.134668,0.0456115,-0.210181,0.0601298,-0.295738,0.0478513,-0.388087,0.0569746,-0.114476,0.0267616,-0.00851014,0.0222987,1.69077,0.037674,1.24867,0.197674,0.64869,0.033082
switches,1.0,-0.305984,0.0559107,-0.167592,0.0622242,-0.386525,0.0782827,-0.366902,0.0634249,-0.459092,0.0675938,-0.169197,0.037467,0.0390462,0.0288659,1.81426,0.0406361,2.848,0.411507,0.481363,0.0529412
