config,alpha,exploit_formed,exploit_formation_tick,exploit_peak_depth,exploit_peak_tick,exploit_persistence_frac,exploit_n_episodes,exploit_episodes,exploit_in_chamber_at_end,exploit_first_recovery_tick,exploit_final_dissolution_tick,exploit_dissolved,explor_formed,explor_formation_tick,explor_peak_depth,explor_peak_tick,explor_persistence_frac,explor_n_episodes,explor_episodes,explor_in_chamber_at_end,explor_first_recovery_tick,explor_final_dissolution_tick,explor_dissolved,pop_formed,pop_formation_tick,pop_peak_depth,pop_peak_tick,pop_persistence_frac,pop_n_episodes,pop_episodes,pop_in_chamber_at_end,pop_first_recovery_tick,pop_final_dissolution_tick,pop_dissolved,exploit_capture_onset,explor_capture_onset,halfx_ai_query_ratio_exploit_mean,halfx_l1pool_explor_mean,halfx_seci_explor_mean,halfx_prec_explor_mean,halfx_periph_sp_aid_gap_mean,slope_periph_sp_mae_gap_mean,slope_periph_sp_aid_gap_mean,slope_unmet_needs_mean
main,0.0,True,5,-0.5374331881332263,140,0.675,2,5-55; 100-200+,True,55,200,False,True,20,-0.3583932401851627,45,0.375,1,20-100,False,100,100,True,True,5,-0.2677128777443177,140,0.8,1,5-200+,True,,200,False,57,0,,65,,45,45,-0.016836662684609545,-0.24499999999999822,-0.45022624434389097
main,0.1,True,5,-0.5117567668342338,135,0.675,2,5-50; 100-200+,True,50,200,False,True,20,-0.374906191209757,45,0.375,1,20-105,False,105,105,True,True,5,-0.25520863700872676,135,0.725,1,5-200+,True,,200,False,57,0,,60,,50,45,-0.023343642596501686,-0.04670177970178067,-2.09321266968326
main,0.2,True,5,-0.5009689006217062,130,0.675,2,5-45; 100-200+,True,45,200,False,True,20,-0.40866989762113237,45,0.4,1,20-105,False,105,105,True,True,5,-0.26350335225066124,15,0.75,1,5-200+,True,,200,False,54,0,,60,,50,40,-0.07889712241028893,0.36852695452695455,-0.41809954751131234
main,0.3,True,5,-0.501814875767577,140,0.65,2,5-40; 105-200+,True,40,200,False,True,20,-0.43088601215557,50,0.4,1,20-110,False,110,110,True,True,5,-0.2761337514262553,15,0.7,1,5-200+,True,,200,False,51,0,,60,,55,45,-0.06250656589920844,0.7735813445813446,-0.22488687782805422
main,0.4,True,5,-0.5047934251201939,135,0.65,2,5-40; 105-200+,True,40,200,False,True,20,-0.4750690797060086,50,0.425,1,20-120,False,120,120,True,True,5,-0.2826074559786045,15,0.675,2,5-80; 115-200+,True,80,200,False,48,0,,65,,60,45,-0.10449414660200873,2.4624840714840732,0.2678733031674208
main,0.5,True,5,-0.47250785769274495,135,0.625,2,5-40; 110-200+,True,40,200,False,True,15,-0.5026818723306261,55,0.475,1,15-125,False,125,125,True,True,5,-0.284199819724125,15,0.675,2,5-80; 115-200+,True,80,200,False,45,0,,65,,65,50,-0.1336592582763775,2.144741554741557,-0.362443438914027
main,0.6,True,5,-0.48926735743316846,135,0.6,2,5-40; 115-200+,True,40,200,False,True,20,-0.5159300400121025,60,0.5,1,20-200+,False,,200,False,True,10,-0.26938684746043484,135,0.65,2,10-80; 115-200+,True,80,200,False,35,0,,70,,75,60,-0.04284571361677103,2.7602521922521945,0.16968325791855218
main,0.7,True,5,-0.47054983881823037,140,0.6,2,5-50; 115-200+,True,50,200,False,True,20,-0.49419598741717996,70,0.55,1,20-200+,False,,200,False,True,10,-0.2664599352774516,135,0.725,2,10-85; 115-200+,True,85,200,False,13,0,22,75,,85,70,-0.05659637524273706,3.483640285640284,-0.0687782805429864
main,0.8,True,5,-0.43007998924940855,135,0.6,2,5-60; 120-200+,True,60,200,False,True,25,-0.45411158909239974,70,0.875,1,25-200+,True,,200,False,True,15,-0.2791388999821638,135,0.7,1,15-200+,True,,200,False,3,0,5,85,25,105,90,-0.06837540808475698,2.306071558071561,-0.6719457013574663
main,0.9,True,5,-0.35628414394968005,145,0.575,2,5-75; 115-200+,True,75,200,False,True,45,-0.3746324240792519,85,0.775,1,45-200+,True,,200,False,True,30,-0.2815826371744262,145,0.7,1,30-200+,True,,200,False,0,0,5,100,45,115,100,0.0398062807314469,1.2176322566322575,-1.895927601809956
main,1.0,True,15,-0.46600219714222896,140,0.725,1,15-200+,True,,200,False,True,60,-0.352579118141834,150,0.7,1,60-200+,True,,200,False,True,45,-0.3882817244086321,140,0.775,1,45-200+,True,,200,False,1,0,4,80,70,120,110,0.12382176461721005,-1.849655677655671,-4.568778280542989
control,0.0,True,5,-0.6306099285478666,140,0.85,1,5-200+,True,,200,False,True,20,-0.39717393032656184,45,0.375,1,20-100,False,100,100,True,True,10,-0.3300344836129362,45,0.775,1,10-200+,True,,200,False,74,0,,70,,55,135,0.006306859114779713,0.18177622377622327,-1.0561085972850686
control,0.1,True,5,-0.612443093078299,135,0.825,1,5-200+,True,,200,False,True,20,-0.43056610688736063,45,0.375,1,20-105,False,105,105,True,True,10,-0.3442020539603528,35,0.75,1,10-200+,True,,200,False,65,0,,70,,55,,-0.00832469767177267,0.3559160839160833,0.05203619909502293
control,0.2,True,5,-0.6049630417616733,140,0.75,2,5-75; 110-200+,True,75,200,False,True,20,-0.47108568317538235,50,0.4,1,20-105,False,105,105,True,True,10,-0.3567289277431475,50,0.775,1,10-200+,True,,200,False,60,0,,70,,60,,-0.0066492419581590315,0.5211748251748252,0.5217194570135754
control,0.3,True,5,-0.5997645918407915,135,0.725,2,5-70; 110-200+,True,70,200,False,True,20,-0.5133811806858799,50,0.4,1,20-105,False,105,105,True,True,10,-0.36699661415535534,45,0.75,1,10-200+,True,,200,False,6,0,,70,,60,,-0.06853478019381336,1.1355244755244756,1.0656108597285072
control,0.4,True,5,-0.5927450148669917,140,0.7,2,5-70; 115-200+,True,70,200,False,True,20,-0.5454760493274953,55,0.425,1,20-110,False,110,110,True,True,10,-0.37705756158950743,50,0.675,2,10-90; 120-200+,True,90,200,False,47,0,,75,,65,,-0.024995906365844006,1.2064895104895108,-0.023981900452488845
control,0.5,True,5,-0.5881566918290171,140,0.675,2,5-65; 120-200+,True,65,200,False,True,20,-0.5837871506355885,60,0.45,1,20-115,False,115,115,True,True,10,-0.3927873302846125,50,0.725,2,10-90; 120-200+,True,90,200,False,33,0,35,75,,75,130,-0.027217113634877395,-0.8757902097902105,-0.039819004524886736
control,0.6,True,5,-0.5200584148070105,135,0.675,2,5-65; 120-200+,True,65,200,False,True,20,-0.6119673700193531,65,0.475,1,20-120,False,120,120,True,True,10,-0.38908115502891494,50,0.675,2,10-90; 125-200+,True,90,200,False,21,0,25,85,,85,105,-0.04088107409815022,0.6477622377622377,-0.42805429864253397
control,0.7,True,5,-0.40633244984294814,15,0.65,2,5-75; 130-200+,True,75,200,False,True,25,-0.6353867344933353,75,0.5,1,25-125,False,125,125,True,True,15,-0.36801967297249333,50,0.6,2,15-95; 130-200+,True,95,200,False,16,0,22,90,,105,,-0.0423121955987028,-0.34886713286713267,-0.2529411764705885
control,0.8,True,5,-0.3458715967233313,15,0.575,2,5-75; 135-200+,True,75,200,False,True,35,-0.6180709104880255,90,0.475,1,35-200+,False,,200,False,True,25,-0.3359306317786219,65,0.475,2,25-100; 140-200+,False,100,200,False,17,0,19,100,,120,,-0.02469768138832608,0.025090909090908713,-2.5162895927601814
control,0.9,True,5,-0.34437355161724353,50,0.475,2,5-80; 140-170,False,80,170,True,True,45,-0.5667615192534892,95,0.775,1,45-200+,True,,200,False,True,30,-0.32306503345595405,70,0.35,1,30-100,False,100,100,True,8,0,,115,,130,,-0.01271157825017224,0.6726013986013982,-7.225339366515839
control,1.0,True,10,-0.38019696203853803,50,0.4,1,10-95,False,95,95,True,True,60,-0.4745482509834956,105,0.7,1,60-200+,True,,200,False,True,40,-0.27653888632776974,70,0.325,1,40-105,False,105,105,True,1,0,18,90,65,140,,-0.017132227271581098,0.2680000000000001,-17.20316742081449
