alpha,seci,seci_se,aeci_ie,aeci_ie_se,seci_ie,seci_ie_se,aeci_ie_chan,aeci_ie_chan_se,seci_ie_chan,seci_ie_chan_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_ie_norm,aeci_var_norm,mae_norm,total_bubble_ie_norm,total_score_ie_norm,total_bubble_norm,total_score_norm
0,-0.222374,0.025395,-0.0854098,0.0541607,-0.172786,0.0539276,-0.267817,0.0509886,-0.252868,0.0502564,-0.262402,0.0244528,-0.0523181,0.0190361,1.25808,0.0261923,2.21533,0.712731,1,0,1,0,1,1,2,2
0.1,-0.216367,0.0252795,-0.104698,0.0519969,-0.185291,0.0585467,-0.267717,0.0483833,-0.260056,0.0515714,-0.239749,0.0238714,-0.0540601,0.0193664,1.27001,0.0260833,1.81667,0.710993,0.957522,0.191752,0.859109,0.0169573,1.14927,1.16623,1.81663,1.83359
0.2,-0.220422,0.0256147,-0.14328,0.049052,-0.190482,0.0546839,-0.263141,0.0431228,-0.26535,0.0460777,-0.229879,0.0277613,-0.0453808,0.0155847,1.28655,0.0284902,1.44867,0.699887,0.986202,0.575324,0.797721,0.0404796,1.56153,1.602,1.78392,1.8244
0.3,-0.204014,0.0271875,-0.15438,0.0464197,-0.171489,0.0558796,-0.241849,0.0410051,-0.256188,0.0507169,-0.231429,0.0293568,-0.0239862,0.0160456,1.30998,0.02555,1.364,0.695195,0.870174,0.685673,0.807362,0.0737887,1.55585,1.62964,1.67754,1.75132
0.4,-0.189368,0.0274576,-0.145003,0.0403945,-0.149887,0.0537651,-0.231658,0.0377308,-0.25054,0.049953,-0.18832,0.0282608,-0.0247801,0.0141656,1.35395,0.0274121,0.65,0.711266,0.766604,0.592449,0.539246,0.136312,1.35905,1.49536,1.30585,1.44216
0.5,-0.192638,0.0292949,-0.185149,0.0417497,-0.16258,0.0560456,-0.239892,0.0360908,-0.255859,0.052171,-0.196275,0.0341803,-0.0305017,0.0169871,1.41425,0.0268452,0.61,0.694332,0.789727,0.991561,0.588722,0.222034,1.78129,2.00332,1.37845,1.60048
0.6,-0.177372,0.0302193,-0.156474,0.0408466,-0.176061,0.0587763,-0.224118,0.0373236,-0.263415,0.0527275,-0.172651,0.0281133,-0.0402831,0.0160337,1.50131,0.0282544,0.432,0.676981,0.681774,0.706488,0.441788,0.345821,1.38826,1.73408,1.12356,1.46938
0.7,-0.135211,0.0331985,-0.138834,0.0430228,-0.184681,0.060019,-0.199189,0.0416931,-0.268305,0.055329,-0.147748,0.0319138,-0.0207722,0.0204242,1.59099,0.0247799,0.664667,0.659152,0.383632,0.531117,0.286905,0.473334,0.914749,1.38808,0.670537,1.14387
0.8,-0.104008,0.0325417,-0.110971,0.0412903,-0.196418,0.0609936,-0.217674,0.0433978,-0.276729,0.0594388,-0.123701,0.0300228,-0.0271741,0.0208385,1.71158,0.0247056,1.31933,0.592082,0.162977,0.254117,0.13734,0.644785,0.417094,1.06188,0.300317,0.945102
0.9,-0.0809608,0.0346566,-0.106552,0.0443392,-0.240054,0.0682146,-0.244558,0.0521206,-0.307341,0.0650445,-0.101619,0.0240766,-0.0319328,0.0228645,1.85996,0.0286155,3.31267,0.494152,0,0.210186,0,0.855746,0.210186,1.06593,0,0.855746
1,-0.136976,0.0358492,-0.185998,0.0608,-0.441691,0.0726354,-0.334225,0.0626199,-0.381612,0.0733504,-0.132945,0.0273697,0.0247665,0.023362,1.96142,0.0309628,10.1527,0.21917,0.396112,1,0.194836,1,1.39611,2.39611,0.590948,1.59095
