alpha,seci,seci_se,aeci_ie,aeci_ie_se,seci_ie,seci_ie_se,aeci_ie_chan,aeci_ie_chan_se,seci_ie_chan,seci_ie_chan_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_ie_norm,aeci_var_norm,mae_norm,total_bubble_ie_norm,total_score_ie_norm,total_bubble_norm,total_score_norm
0,-0.215623,0.0249276,-0.117955,0.0453379,-0.203015,0.0434457,-0.328289,0.0412689,-0.309841,0.0400203,-0.245569,0.0314323,-0.0215658,0.0179522,1.17295,0.0265518,1.41267,0.776542,0.25461,0,1,0,0.25461,0.25461,1.25461,1.25461
0.1,-0.197911,0.0244311,-0.133827,0.0426361,-0.1853,0.0446656,-0.315666,0.0402572,-0.311209,0.0409425,-0.218025,0.0228554,-0.0254534,0.0155168,1.18224,0.0280852,1.42867,0.777815,0.108509,0.298789,0.789886,0.01448,0.407298,0.421778,0.898395,0.912875
0.2,-0.18512,0.0266286,-0.138409,0.0375505,-0.165088,0.0436721,-0.286804,0.0346678,-0.304779,0.0413514,-0.198255,0.0271559,-0.0178336,0.0183216,1.19776,0.0296791,0.975333,0.7822,0.00299509,0.385047,0.63908,0.0386865,0.388042,0.426729,0.642075,0.680761
0.3,-0.190481,0.0280204,-0.171076,0.0378767,-0.168314,0.0439285,-0.286115,0.0349763,-0.30861,0.0400531,-0.199814,0.0278005,-0.0207781,0.0153978,1.21846,0.0294976,0.815333,0.773127,0.0472169,1,0.650974,0.0709623,1.04722,1.11818,0.698191,0.769153
0.4,-0.190302,0.0290361,-0.163892,0.0356211,-0.168466,0.0466988,-0.267934,0.0311395,-0.301221,0.0438991,-0.141634,0.0232907,-0.0223355,0.0202359,1.24934,0.0286532,0.798667,0.77585,0.0457416,0.864759,0.207162,0.119109,0.9105,1.02961,0.252904,0.372013
0.5,-0.184757,0.0287223,-0.158366,0.034992,-0.155464,0.0430709,-0.261396,0.030798,-0.298569,0.0427905,-0.135732,0.0232507,-0.0194466,0.0177724,1.28281,0.0317193,0.532,0.773273,0,0.760739,0.162141,0.171295,0.760739,0.932033,0.162141,0.333436
0.6,-0.188186,0.0347946,-0.133792,0.0374963,-0.146658,0.0471646,-0.246822,0.0355439,-0.311413,0.0471805,-0.122894,0.0287385,-0.0258798,0.0173457,1.36288,0.0326134,0.488667,0.760861,0.0282819,0.298129,0.0642093,0.296149,0.326411,0.62256,0.0924912,0.38864
0.7,-0.207736,0.0388109,-0.158933,0.0370718,-0.160996,0.050063,-0.254056,0.0361066,-0.321638,0.0502188,-0.138632,0.0268223,-0.0361831,0.016796,1.44475,0.033374,0.274,0.730717,0.189555,0.771397,0.184264,0.423815,0.960952,1.38477,0.373819,0.797634
0.8,-0.205265,0.0432598,-0.150337,0.0434762,-0.192031,0.0540456,-0.26697,0.042321,-0.354522,0.0544177,-0.138765,0.0282492,-0.0339492,0.0172542,1.56635,0.0341375,0.544667,0.699592,0.16917,0.609581,0.185277,0.613422,0.778751,1.39217,0.354447,0.967868
0.9,-0.20069,0.041392,-0.134668,0.0456115,-0.210181,0.0601298,-0.295738,0.0478513,-0.388087,0.0569746,-0.114476,0.0267616,-0.00851014,0.0222987,1.69077,0.037674,1.24867,0.64869,0.131432,0.314618,0,0.80744,0.44605,1.25349,0.131432,0.938872
1,-0.305984,0.0559107,-0.167592,0.0622242,-0.386525,0.0782827,-0.366902,0.0634249,-0.459092,0.0675938,-0.169197,0.037467,0.0390462,0.0288659,1.81426,0.0406361,2.848,0.481363,1,0.934416,0.417417,1,1.93442,2.93442,1.41742,2.41742
