config,alpha,SECI,SECI_se,AECI-IE,AECI-IE_se,SECI-IE,SECI-IE_se,AECI-IE-chan,AECI-IE-chan_se,SECI-IE-chan,SECI-IE-chan_se,AECI-Var,AECI-Var_se,AECI-Err,AECI-Err_se,MAE,MAE_se,Unmet,Unmet_se,Precision,Precision_se
baseline,0.0,-0.224462,0.025477,-0.0833469,0.0518801,-0.200017,0.0580521,-0.252822,0.0474693,-0.268753,0.0530854,-0.263834,0.0241778,-0.0587839,0.0181854,1.24706,0.0256952,2.23333,0.307033,0.705499,0.0277294
baseline,0.1,-0.20743,0.0264245,-0.105722,0.049229,-0.179185,0.0577812,-0.258199,0.0470279,-0.260177,0.0516759,-0.226691,0.0244858,-0.0567234,0.0195317,1.26984,0.0256299,1.73867,0.277604,0.716916,0.0270829
baseline,0.2,-0.212629,0.0270734,-0.127098,0.0498916,-0.184125,0.0568981,-0.253944,0.0451563,-0.269131,0.0524511,-0.225461,0.0326819,-0.0398704,0.0142099,1.28994,0.0300359,1.526,0.259557,0.706659,0.030224
baseline,0.3,-0.211479,0.0289689,-0.159728,0.0466032,-0.186695,0.0582483,-0.249355,0.0422647,-0.269547,0.0504986,-0.218994,0.0296243,-0.0248625,0.0162861,1.30581,0.0285646,1.274,0.253166,0.707783,0.0284004
baseline,0.4,-0.195241,0.0270865,-0.140142,0.0426468,-0.180047,0.055701,-0.225091,0.039972,-0.261512,0.0527049,-0.19598,0.0291199,-0.0249069,0.0168796,1.36785,0.0276283,0.932,0.149935,0.701094,0.0276011
baseline,0.5,-0.186338,0.0300408,-0.164199,0.0429671,-0.167436,0.0582224,-0.223697,0.0396346,-0.250994,0.0522048,-0.174326,0.0280887,-0.0300329,0.0148911,1.40439,0.0262818,0.553333,0.103639,0.700725,0.028868
baseline,0.6,-0.173597,0.0294775,-0.154789,0.0390678,-0.162346,0.052659,-0.220666,0.0361862,-0.246525,0.0497485,-0.189539,0.0319752,-0.0452492,0.0197946,1.50097,0.0251598,0.489333,0.0884227,0.671432,0.0276573
baseline,0.7,-0.138184,0.0348803,-0.151467,0.0443584,-0.19711,0.0612973,-0.223257,0.0451964,-0.274817,0.0570189,-0.147703,0.028264,-0.0267727,0.0181077,1.59548,0.024522,0.794667,0.126137,0.653291,0.0312559
baseline,0.8,-0.102034,0.034323,-0.117631,0.0428275,-0.191506,0.061741,-0.231241,0.0452164,-0.284246,0.0599728,-0.130513,0.0273414,-0.0322686,0.0213349,1.70829,0.0264014,1.43533,0.192503,0.593779,0.033513
baseline,0.9,-0.0905647,0.0386427,-0.127235,0.0521697,-0.256058,0.0698817,-0.257919,0.0589109,-0.299863,0.0671607,-0.129223,0.0298614,-0.0427967,0.0221297,1.84764,0.0264894,3.18,0.382091,0.499706,0.0395649
