config,alpha,exploit_formed,exploit_formation_tick,exploit_peak_depth,exploit_peak_tick,exploit_persistence_frac,exploit_n_episodes,exploit_episodes,exploit_in_chamber_at_end,exploit_first_recovery_tick,exploit_final_dissolution_tick,exploit_dissolved,explor_formed,explor_formation_tick,explor_peak_depth,explor_peak_tick,explor_persistence_frac,explor_n_episodes,explor_episodes,explor_in_chamber_at_end,explor_first_recovery_tick,explor_final_dissolution_tick,explor_dissolved,pop_formed,pop_formation_tick,pop_peak_depth,pop_peak_tick,pop_persistence_frac,pop_n_episodes,pop_episodes,pop_in_chamber_at_end,pop_first_recovery_tick,pop_final_dissolution_tick,pop_dissolved,exploit_capture_onset,explor_capture_onset,halfx_ai_query_ratio_exploit_mean,halfx_l1pool_explor_mean,halfx_seci_explor_mean,halfx_prec_explor_mean,halfx_periph_sp_aid_gap_mean,slope_periph_sp_mae_gap_mean,slope_periph_sp_aid_gap_mean,slope_unmet_needs_mean
main,0.0,True,5,-0.5236819671267839,135,0.675,2,5-55; 100-200+,True,55,200,False,True,20,-0.35423755486787895,45,0.35,1,20-100,False,100,100,True,True,5,-0.2599758149404699,135,0.775,1,5-200+,True,,200,False,57,0,,60,,45,45,-0.013646833809122938,0.6721517371517376,-1.4171945701357471
main,0.1,True,5,-0.5129943452800767,130,0.675,2,5-50; 100-200+,True,50,200,False,True,20,-0.37490259197003833,45,0.375,1,20-100,False,100,100,True,True,5,-0.2561923400427177,130,0.75,1,5-200+,True,,200,False,57,0,,60,,50,45,-0.07214361743887132,0.565763051763053,-0.6325791855203619
main,0.2,True,5,-0.5200741642351395,135,0.675,2,5-45; 100-200+,True,45,200,False,True,20,-0.4080637922431064,45,0.375,1,20-105,False,105,105,True,True,5,-0.26350335225066124,15,0.725,1,5-200+,True,,200,False,54,0,,60,,50,40,-0.0481862180271191,0.3442627002627034,0.10814479638009049
main,0.3,True,5,-0.49381678328122725,135,0.65,2,5-40; 105-200+,True,40,200,False,True,20,-0.4284936531475048,45,0.4,1,20-110,False,110,110,True,True,5,-0.2761337514262553,15,0.725,1,5-200+,True,,200,False,51,0,,60,,55,45,-0.059678444368261446,1.2027879527879548,-0.1054298642533939
main,0.4,True,5,-0.4736670963745365,135,0.625,2,5-40; 110-200+,True,40,200,False,True,20,-0.4750972327824665,50,0.425,1,20-120,False,120,120,True,True,5,-0.2826074559786045,15,0.675,2,5-80; 115-200+,True,80,200,False,48,0,,65,,60,45,-0.045340374696087614,0.8936586746586759,-0.26696832579185537
main,0.5,True,5,-0.498528007698597,130,0.625,2,5-40; 110-200+,True,40,200,False,True,15,-0.5062773174536845,50,0.475,1,15-120,False,120,120,True,True,5,-0.284199819724125,15,0.7,2,5-75; 115-200+,True,75,200,False,46,0,,65,,65,50,-0.06345466871757702,3.013816442816444,0.23574660633484162
main,0.6,True,5,-0.46588664554338816,135,0.6,2,5-40; 115-200+,True,40,200,False,True,20,-0.5130668992451429,60,0.475,1,20-200+,False,,200,False,True,10,-0.25688252009879375,135,0.65,2,10-80; 115-200+,True,80,200,False,35,0,,70,,75,60,-0.09649062578484635,3.5686170866170874,-0.13800904977375572
main,0.7,True,5,-0.5120949420902836,140,0.575,2,5-50; 120-200+,True,50,200,False,True,20,-0.4935914447857037,65,0.55,1,20-200+,False,,200,False,True,10,-0.2862304278015956,140,0.675,2,10-85; 120-200+,True,85,200,False,13,0,21,75,,85,70,-0.0013321579412291546,2.515890109890111,-0.4457013574660631
main,0.8,True,5,-0.457526011113221,140,0.575,2,5-60; 120-200+,True,60,200,False,True,25,-0.4585082303679557,80,0.875,1,25-200+,True,,200,False,True,15,-0.2907509531163567,140,0.7,1,15-200+,True,,200,False,3,0,5,85,25,105,90,0.021996641880535833,1.0486867206867267,-0.738009049773756
main,0.9,True,5,-0.3155333726669448,145,0.6,2,5-75; 115-200+,True,75,200,False,True,45,-0.3718666891480053,90,0.775,1,45-200+,True,,200,False,True,30,-0.2613352972601095,145,0.75,1,30-200+,True,,200,False,0,0,6,105,45,115,100,0.06407838327544886,0.9469469419469445,-1.774208144796381
