alpha,seci,seci_se,aeci_ie,aeci_ie_se,seci_ie,seci_ie_se,aeci_ie_chan,aeci_ie_chan_se,seci_ie_chan,seci_ie_chan_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_ie_norm,aeci_var_norm,mae_norm,total_bubble_ie_norm,total_score_ie_norm,total_bubble_norm,total_score_norm
0,-0.224462,0.025477,-0.0833469,0.0518801,-0.200017,0.0580521,-0.252822,0.0474693,-0.268753,0.0530854,-0.263834,0.0241778,-0.0587839,0.0181854,1.24706,0.0256952,2.23333,0.705499,1,0,1,0,1,1,2,2
0.1,-0.20743,0.0264245,-0.105722,0.049229,-0.179185,0.0577812,-0.258199,0.0470279,-0.260177,0.0516759,-0.226691,0.0244858,-0.0567234,0.0195317,1.26984,0.0256299,1.73867,0.716916,0.872799,0.214872,0.724074,0.031779,1.08767,1.11945,1.59687,1.62865
0.2,-0.212629,0.0270734,-0.127098,0.0498916,-0.184125,0.0568981,-0.253944,0.0451563,-0.269131,0.0524511,-0.225461,0.0326819,-0.0398704,0.0142099,1.28994,0.0300359,1.526,0.706659,0.911626,0.420144,0.714931,0.0598157,1.33177,1.39159,1.62656,1.68637
0.3,-0.211479,0.0289689,-0.159728,0.0466032,-0.186695,0.0582483,-0.249355,0.0422647,-0.269547,0.0504986,-0.218994,0.0296243,-0.0248625,0.0162861,1.30581,0.0285646,1.274,0.707783,0.903038,0.733494,0.666891,0.0819405,1.63653,1.71847,1.56993,1.65187
0.4,-0.195241,0.0270865,-0.140142,0.0426468,-0.180047,0.055701,-0.225091,0.039972,-0.261512,0.0527049,-0.19598,0.0291199,-0.0249069,0.0168796,1.36785,0.0276283,0.932,0.701094,0.781766,0.545404,0.495925,0.168483,1.32717,1.49565,1.27769,1.44617
0.5,-0.186338,0.0300408,-0.164199,0.0429671,-0.167436,0.0582224,-0.223697,0.0396346,-0.250994,0.0522048,-0.174326,0.0280887,-0.0300329,0.0148911,1.40439,0.0262818,0.553333,0.700725,0.715275,0.776428,0.335063,0.21945,1.4917,1.71115,1.05034,1.26979
0.6,-0.173597,0.0294775,-0.154789,0.0390678,-0.162346,0.052659,-0.220666,0.0361862,-0.246525,0.0497485,-0.189539,0.0319752,-0.0452492,0.0197946,1.50097,0.0251598,0.489333,0.671432,0.620117,0.686061,0.448075,0.354178,1.30618,1.66036,1.06819,1.42237
0.7,-0.138184,0.0348803,-0.151467,0.0443584,-0.19711,0.0612973,-0.223257,0.0451964,-0.274817,0.0570189,-0.147703,0.028264,-0.0267727,0.0181077,1.59548,0.024522,0.794667,0.653291,0.355639,0.654165,0.137282,0.486008,1.0098,1.49581,0.492921,0.978929
0.8,-0.102034,0.034323,-0.117631,0.0428275,-0.191506,0.061741,-0.231241,0.0452164,-0.284246,0.0599728,-0.130513,0.0273414,-0.0322686,0.0213349,1.70829,0.0264014,1.43533,0.593779,0.0856541,0.329232,0.00958577,0.643373,0.414886,1.05826,0.0952399,0.738612
0.9,-0.0905647,0.0386427,-0.127235,0.0521697,-0.256058,0.0698817,-0.257919,0.0589109,-0.299863,0.0671607,-0.129223,0.0298614,-0.0427967,0.0221297,1.84764,0.0264894,3.18,0.499706,0,0.42146,0,0.837751,0.42146,1.25921,0,0.837751
1,-0.141348,0.0324895,-0.18748,0.0680916,-0.44213,0.0737957,-0.349162,0.0677719,-0.370663,0.0709683,-0.147256,0.0305119,0.023235,0.0224046,1.96396,0.028668,10.182,0.23133,0.379273,1,0.133967,1,1.37927,2.37927,0.513241,1.51324
