alpha,seci,seci_se,aeci_ie,aeci_ie_se,seci_ie,seci_ie_se,aeci_ie_chan,aeci_ie_chan_se,seci_ie_chan,seci_ie_chan_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_ie_norm,aeci_var_norm,mae_norm,total_bubble_ie_norm,total_score_ie_norm,total_bubble_norm,total_score_norm
0,-0.20274,0.0220609,-0.109196,0.0456674,-0.19169,0.0461159,-0.322027,0.0400654,-0.305331,0.0412971,-0.210949,0.0285866,-0.020614,0.0167842,1.17151,0.0277977,1.592,0.77919,0.245914,0.0496685,0.9528,0,0.295582,0.295582,1.19871,1.19871
0.1,-0.19466,0.0257647,-0.105918,0.0417198,-0.176846,0.0457027,-0.298104,0.0378232,-0.307429,0.0399389,-0.207208,0.0223067,-0.0222614,0.0178176,1.17528,0.0297743,1.166,0.780156,0.16863,0,0.922013,0.00581451,0.16863,0.174445,1.09064,1.09646
0.2,-0.183342,0.0250696,-0.146508,0.0391059,-0.169022,0.0433137,-0.286882,0.0357065,-0.294447,0.0409936,-0.216684,0.0227398,-0.0216008,0.0171599,1.1987,0.0295566,1.07867,0.781172,0.0603802,0.614947,1,0.041853,0.675327,0.71718,1.06038,1.10223
0.3,-0.186053,0.0259825,-0.160129,0.0376255,-0.16072,0.0432685,-0.284722,0.0334121,-0.305935,0.0406548,-0.157302,0.0243881,-0.0159053,0.0172858,1.20791,0.0280155,0.954667,0.774709,0.0863051,0.821312,0.511275,0.0560126,0.907617,0.963629,0.59758,0.653592
0.4,-0.191155,0.0302341,-0.171884,0.0340155,-0.168319,0.0469256,-0.28262,0.0308676,-0.306845,0.045303,-0.141442,0.0220225,-0.0286557,0.0183979,1.24935,0.0297297,0.805333,0.779832,0.135107,0.999403,0.380745,0.119788,1.13451,1.2543,0.515852,0.63564
0.5,-0.195057,0.0282883,-0.171923,0.031554,-0.155032,0.0431573,-0.273396,0.0304847,-0.305642,0.0425026,-0.160367,0.0286152,-0.0196868,0.0163529,1.28191,0.0319059,0.612,0.763931,0.172431,1,0.536499,0.169885,1.17243,1.34232,0.70893,0.878815
0.6,-0.17703,0.0323967,-0.140424,0.0337617,-0.150728,0.047142,-0.255656,0.0332429,-0.324485,0.0471121,-0.117551,0.0256263,-0.037964,0.0189538,1.37261,0.0322845,0.247333,0.758849,0,0.522777,0.184113,0.309454,0.522777,0.832231,0.184113,0.493567
0.7,-0.207657,0.0383465,-0.165718,0.038171,-0.166815,0.0521813,-0.258733,0.0368004,-0.322818,0.050866,-0.144818,0.0286778,-0.0294984,0.0171899,1.45773,0.0362313,0.458,0.737688,0.292953,0.905989,0.408525,0.440438,1.19894,1.63938,0.701478,1.14192
0.8,-0.199988,0.039846,-0.149062,0.0401937,-0.175774,0.0512714,-0.255312,0.0418579,-0.353899,0.0531692,-0.122873,0.0302954,-0.0345334,0.0176218,1.55918,0.0370087,0.439333,0.705218,0.2196,0.653639,0.227913,0.596543,0.87324,1.46978,0.447514,1.04406
0.9,-0.200592,0.0435827,-0.127345,0.0419424,-0.230478,0.0602726,-0.294261,0.0438795,-0.389973,0.0568616,-0.0951808,0.0252818,-0.0302966,0.025164,1.70909,0.0421004,1.05467,0.642806,0.225374,0.324629,0,0.827226,0.550004,1.37723,0.225374,1.0526
1,-0.281578,0.0548875,-0.143632,0.061089,-0.389025,0.0756627,-0.368091,0.0604072,-0.46841,0.0694831,-0.147321,0.0451961,0.0272715,0.0232791,1.82137,0.0390625,2.86,0.500643,1,0.571383,0.429125,1,1.57138,2.57138,1.42912,2.42912
