outcome,term,coef_std,se,p,method,n
SECI (exploit),Intercept,-0.552785,0.160011,0.000551,MixedLM (random intercept per seed),440
SECI (exploit),alpha,-0.949966,0.542417,0.0799,MixedLM (random intercept per seed),440
SECI (exploit),alpha2,3.12114,0.522425,2.31e-09,MixedLM (random intercept per seed),440
SECI (exploit),config,0.198112,0.164875,0.23,MixedLM (random intercept per seed),440
SECI (exploit),alpha:config,1.06848,0.767094,0.164,MixedLM (random intercept per seed),440
SECI (exploit),alpha2:config,-2.46175,0.738821,0.000862,MixedLM (random intercept per seed),440
SECI (explor),Intercept,0.291257,0.0291478,1.64e-23,OLS, seed-clustered SE (MixedLM fallback),440
SECI (explor),alpha,2.86084,0.328272,2.91e-18,OLS, seed-clustered SE (MixedLM fallback),440
SECI (explor),alpha2,-4.57979,0.534144,9.99e-18,OLS, seed-clustered SE (MixedLM fallback),440
SECI (explor),config,-0.0193507,0.0663016,0.77,OLS, seed-clustered SE (MixedLM fallback),440
SECI (explor),alpha:config,-0.932307,0.364282,0.0105,OLS, seed-clustered SE (MixedLM fallback),440
SECI (explor),alpha2:config,0.708575,0.660692,0.284,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE (exploit),Intercept,0.398998,0.263646,0.13,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE (exploit),alpha,-3.65038,0.503143,4.01e-13,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE (exploit),alpha2,4.27793,0.475415,2.29e-19,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE (exploit),config,0.0543865,0.345967,0.875,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE (exploit),alpha:config,0.443724,0.905917,0.624,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE (exploit),alpha2:config,-1.19547,0.816537,0.143,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE (explor),Intercept,0.0353866,0.149233,0.813,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE (explor),alpha,3.9804,0.430168,2.18e-20,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE (explor),alpha2,-6.00212,0.556144,3.74e-27,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE (explor),config,-0.274032,0.174296,0.116,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE (explor),alpha:config,-1.55414,0.601695,0.0098,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE (explor),alpha2:config,3.43261,0.885354,0.000106,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE-chan (exploit),Intercept,0.286655,0.228951,0.211,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE-chan (exploit),alpha,-2.78537,0.583374,1.8e-06,OLS, seed-clustered SE (MixedLM fallback),440
AECI-IE-chan (exploit),alpha2,3.73952,0.61218,1.01e-09,OLS, seed-clustered SE (MixedLM fallback),440
