config,alpha,SECI,SECI_se,AECI-Var,AECI-Var_se,AECI-Err,AECI-Err_se,MAE,MAE_se,Unmet,Unmet_se,Precision,Precision_se
baseline,0.0,-0.256381,0.0235635,-0.279063,0.028238,-0.0456455,0.0181448,1.27636,0.0268542,1.65933,0.245244,0.702931,0.0293186
baseline,0.1,-0.240218,0.0235394,-0.265169,0.0270173,-0.0430724,0.0177968,1.27981,0.0260913,1.82,0.268845,0.705828,0.0273677
baseline,0.2,-0.234567,0.0244939,-0.259344,0.029255,-0.0352234,0.018844,1.29657,0.025552,1.42067,0.22153,0.699971,0.02757
baseline,0.3,-0.229029,0.0263399,-0.258879,0.0279883,-0.0225922,0.0170149,1.3176,0.0297244,1.14467,0.176953,0.710099,0.0285469
baseline,0.4,-0.208226,0.0273672,-0.242299,0.030765,-0.0226532,0.014741,1.33095,0.0286967,0.785333,0.165097,0.710586,0.0285623
baseline,0.5,-0.230954,0.0288097,-0.243338,0.0295368,-0.0268341,0.0183847,1.46246,0.0257836,0.705333,0.18525,0.700061,0.0285943
baseline,0.6,-0.205792,0.0317394,-0.222947,0.0326462,-0.0322649,0.0204708,1.52144,0.0328836,0.894667,0.115862,0.698466,0.028515
baseline,0.7,-0.156266,0.0335144,-0.165828,0.0281395,-0.0402211,0.0194381,1.53143,0.0271224,0.563333,0.126498,0.702057,0.0302799
baseline,0.8,-0.161268,0.0378958,-0.165454,0.029468,-0.0332148,0.0209903,1.73376,0.0296259,2.26067,0.287164,0.627245,0.0359937
baseline,0.9,-0.137056,0.0429792,-0.180037,0.033227,0.0236228,0.0288449,1.93643,0.0284258,11.3047,0.505419,0.207602,0.0377054
baseline,1.0,-0.140187,0.0377498,-0.166179,0.0276478,0.059743,0.0291105,1.96146,0.0302239,11.2767,0.570959,0.20871,0.0373261
switches,0.0,-0.228537,0.0274161,-0.240487,0.0237849,-0.0313056,0.0177862,1.19452,0.0290707,1.16533,0.201116,0.765104,0.0240443
switches,0.1,-0.199104,0.0258301,-0.247688,0.0268434,-0.0233374,0.0178719,1.19424,0.0322784,1.19533,0.207919,0.785465,0.022862
switches,0.2,-0.199428,0.027471,-0.21503,0.0259936,-0.0167891,0.0163051,1.19545,0.0308786,0.933333,0.157638,0.779687,0.0251243
switches,0.3,-0.20697,0.0267399,-0.192427,0.0252377,-0.00950068,0.0170914,1.21499,0.0307453,0.705333,0.131844,0.788495,0.0209045
switches,0.4,-0.197212,0.0293089,-0.19749,0.0267826,-0.018401,0.0169003,1.23616,0.0321849,0.409333,0.0805136,0.772259,0.0248704
switches,0.5,-0.21,0.0279668,-0.157347,0.0204576,-0.00816746,0.0150499,1.33323,0.0326125,0.333333,0.0802569,0.782158,0.0243764
switches,0.6,-0.204706,0.0324399,-0.174833,0.027544,-0.0198389,0.0178537,1.38055,0.0356938,0.447333,0.0872369,0.774453,0.0255948
switches,0.7,-0.224316,0.0348163,-0.168267,0.028252,-0.0240327,0.0188526,1.41578,0.0327427,0.372,0.071147,0.76709,0.0256725
switches,0.8,-0.242149,0.0384428,-0.11185,0.0256159,-0.0417022,0.0214511,1.5993,0.0361489,1.14533,0.144714,0.722488,0.0289412
switches,0.9,-0.329071,0.0505423,-0.150495,0.0339104,0.045043,0.0290208,1.80013,0.0401712,3.064,0.534418,0.525246,0.0500315
switches,1.0,-0.301481,0.0567297,-0.162891,0.0369043,0.0360504,0.0292308,1.79576,0.0413446,3.278,0.475654,0.51337,0.0525626
