alpha,seci,seci_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_var_norm,mae_norm,total_bubble_norm,total_score_norm
0,-0.228537,0.0274161,-0.240487,0.0237849,-0.0313056,0.0177862,1.19452,0.0290707,1.16533,0.765104,0.237567,0.946988,0.000463203,1.18455,1.18502
0.1,-0.199104,0.0258301,-0.247688,0.0268434,-0.0233374,0.0178719,1.19424,0.0322784,1.19533,0.785465,0.0143467,1,0,1.01435,1.01435
0.2,-0.199428,0.027471,-0.21503,0.0259936,-0.0167891,0.0163051,1.19545,0.0308786,0.933333,0.779687,0.016803,0.759578,0.00199907,0.776381,0.77838
0.3,-0.20697,0.0267399,-0.192427,0.0252377,-0.00950068,0.0170914,1.21499,0.0307453,0.705333,0.788495,0.0740062,0.593183,0.0342461,0.667189,0.701435
0.4,-0.197212,0.0293089,-0.19749,0.0267826,-0.018401,0.0169003,1.23616,0.0321849,0.409333,0.772259,0,0.630456,0.0691897,0.630456,0.699645
0.5,-0.21,0.0279668,-0.157347,0.0204576,-0.00816746,0.0150499,1.33323,0.0326125,0.333333,0.782158,0.0969788,0.334939,0.229407,0.431918,0.661325
0.6,-0.204706,0.0324399,-0.174833,0.027544,-0.0198389,0.0178537,1.38055,0.0356938,0.447333,0.774453,0.0568298,0.463664,0.307494,0.520493,0.827988
0.7,-0.224316,0.0348163,-0.168267,0.028252,-0.0240327,0.0188526,1.41578,0.0327427,0.372,0.76709,0.20555,0.415323,0.36564,0.620873,0.986513
0.8,-0.242149,0.0384428,-0.11185,0.0256159,-0.0417022,0.0214511,1.5993,0.0361489,1.14533,0.722488,0.340795,0,0.668538,0.340795,1.00933
0.9,-0.329071,0.0505423,-0.150495,0.0339104,0.045043,0.0290208,1.80013,0.0401712,3.064,0.525246,1,0.284497,1,1.2845,2.2845
1,-0.301481,0.0567297,-0.162891,0.0369043,0.0360504,0.0292308,1.79576,0.0413446,3.278,0.51337,0.790758,0.37575,0.992795,1.16651,2.1593
