Robustness tables saved: ./robustness_tables.md

# Robustness sweep tables (M5 / M7 raw material)

Late-run (last 75 ticks) means with across-replication SE. One table per (sweep, level); the verdict paragraphs (structural precondition / interior optimum / starvation-capture mechanisms) go to docs/robustness_summary.md.

## sweep `salience`, level `0`

| α | SECI_ex | SECI_er | AECI-IE_ex | AECI-IE_er | AECI-IEc_ex | AECI-IEc_er | MAE_ex | MAE_er | Unmet | Prec_ex | Prec_er | AItrust_er | SECIbreak_ex | SECIbreak_er |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.0 | -0.371 (±0.033) | -0.0135 (±0.008) | -0.177 (±0.042) | -0.0389 (±0.018) | -0.402 (±0.029) | -0.232 (±0.019) | 1.79 (±0.033) | 0.56 (±0.022) | 1.59 (±0.27) | 0.574 (±0.041) | 0.993 (±0.00077) | 0.882 (±0.0016) | 14.2 (±2.5) | 22.1 (±1.8) |
| 0.3 | -0.334 (±0.038) | -0.0209 (±0.01) | -0.327 (±0.035) | 0.0124 (±0.013) | -0.463 (±0.028) | -0.0784 (±0.011) | 1.76 (±0.029) | 0.652 (±0.02) | 0.926 (±0.17) | 0.575 (±0.043) | 0.991 (±0.0011) | 0.885 (±0.0023) | 10.3 (±1.6) | 23.9 (±1.7) |
| 0.7 | -0.331 (±0.045) | -0.0789 (±0.027) | -0.333 (±0.045) | 0.00471 (±0.014) | -0.461 (±0.036) | -0.0486 (±0.025) | 1.81 (±0.034) | 1.08 (±0.029) | 0.382 (±0.098) | 0.487 (±0.049) | 0.978 (±0.002) | 0.874 (±0.0022) | 9.6 (±0.51) | 29.1 (±1.8) |
| 0.8 | -0.269 (±0.045) | -0.144 (±0.036) | -0.321 (±0.049) | -0.00646 (±0.021) | -0.469 (±0.043) | -0.0812 (±0.03) | 1.84 (±0.041) | 1.3 (±0.04) | 0.547 (±0.08) | 0.457 (±0.049) | 0.93 (±0.0069) | 0.854 (±0.0027) | 12.7 (±1.6) | 34.5 (±1.7) |
| 0.9 | -0.195 (±0.035) | -0.228 (±0.043) | -0.193 (±0.036) | -0.0656 (±0.031) | -0.41 (±0.035) | -0.198 (±0.038) | 1.84 (±0.033) | 1.51 (±0.037) | 0.968 (±0.15) | 0.443 (±0.048) | 0.838 (±0.018) | 0.838 (±0.003) | 16 (±1.6) | 35.9 (±1.6) |
| 1.0 | -0.276 (±0.048) | -0.313 (±0.049) | -0.207 (±0.042) | -0.0903 (±0.046) | -0.427 (±0.044) | -0.28 (±0.045) | 1.89 (±0.036) | 1.73 (±0.049) | 3.15 (±0.5) | 0.36 (±0.059) | 0.612 (±0.05) | 0.835 (±0.0032) | 24.4 (±2.5) | 38.5 (±1.1) |

## sweep `salience`, level `0.5`

| α | SECI_ex | SECI_er | AECI-IE_ex | AECI-IE_er | AECI-IEc_ex | AECI-IEc_er | MAE_ex | MAE_er | Unmet | Prec_ex | Prec_er | AItrust_er | SECIbreak_ex | SECIbreak_er |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.0 | -0.395 (±0.043) | -0.00928 (±0.0064) | -0.2 (±0.042) | -0.0826 (±0.023) | -0.412 (±0.031) | -0.27 (±0.023) | 1.84 (±0.035) | 0.55 (±0.021) | 1.58 (±0.25) | 0.542 (±0.043) | 0.991 (±0.0014) | 0.889 (±0.0025) | 18.9 (±3.2) | 21.9 (±1.8) |
| 0.3 | -0.337 (±0.032) | -0.0231 (±0.011) | -0.323 (±0.031) | -0.0349 (±0.02) | -0.462 (±0.025) | -0.135 (±0.019) | 1.8 (±0.039) | 0.647 (±0.022) | 0.754 (±0.17) | 0.572 (±0.039) | 0.991 (±0.0011) | 0.895 (±0.0024) | 12.2 (±2.1) | 23.6 (±1.7) |
| 0.7 | -0.288 (±0.044) | -0.0846 (±0.024) | -0.315 (±0.043) | -0.0243 (±0.013) | -0.449 (±0.033) | -0.0842 (±0.022) | 1.83 (±0.039) | 1.11 (±0.032) | 0.194 (±0.077) | 0.485 (±0.049) | 0.976 (±0.0032) | 0.883 (±0.003) | 10.1 (±0.48) | 29.6 (±1.7) |
| 0.8 | -0.24 (±0.045) | -0.167 (±0.036) | -0.291 (±0.054) | -0.0848 (±0.022) | -0.426 (±0.043) | -0.151 (±0.034) | 1.84 (±0.036) | 1.33 (±0.035) | 0.699 (±0.15) | 0.458 (±0.051) | 0.93 (±0.0057) | 0.866 (±0.0036) | 11.6 (±0.77) | 35.5 (±1.6) |
| 0.9 | -0.238 (±0.042) | -0.215 (±0.042) | -0.282 (±0.05) | -0.118 (±0.03) | -0.443 (±0.037) | -0.204 (±0.039) | 1.87 (±0.032) | 1.54 (±0.042) | 1.16 (±0.21) | 0.412 (±0.051) | 0.825 (±0.02) | 0.846 (±0.0037) | 17.6 (±2.2) | 35.7 (±1.6) |
| 1.0 | -0.261 (±0.047) | -0.332 (±0.049) | -0.247 (±0.051) | -0.162 (±0.046) | -0.457 (±0.05) | -0.371 (±0.043) | 1.9 (±0.033) | 1.76 (±0.044) | 2.79 (±0.42) | 0.389 (±0.054) | 0.624 (±0.05) | 0.844 (±0.0034) | 26.9 (±2.5) | 37.1 (±1.3) |

## sweep `salience`, level `1`

| α | SECI_ex | SECI_er | AECI-IE_ex | AECI-IE_er | AECI-IEc_ex | AECI-IEc_er | MAE_ex | MAE_er | Unmet | Prec_ex | Prec_er | AItrust_er | SECIbreak_ex | SECIbreak_er |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.0 | -0.521 (±0.041) | -0.00824 (±0.0068) | -0.252 (±0.045) | -0.204 (±0.028) | -0.412 (±0.031) | -0.344 (±0.025) | 1.85 (±0.031) | 0.584 (±0.026) | 1.95 (±0.17) | 0.427 (±0.054) | 0.988 (±0.0019) | 0.899 (±0.0043) | 16.2 (±2.8) | 21.9 (±1.8) |
