config,alpha,SECI,SECI_se,AECI-Var,AECI-Var_se,AECI-Err,AECI-Err_se,MAE,MAE_se,Unmet,Unmet_se,Precision,Precision_se
baseline,0.0,-0.234836,0.0227977,-0.277551,0.0231926,-0.0485528,0.0189703,1.25587,0.0257848,2.112,0.300111,0.699476,0.0250382
baseline,0.1,-0.217607,0.0255644,-0.247834,0.0297363,-0.0750849,0.021162,1.25138,0.0245882,2.06333,0.341452,0.715976,0.0283081
baseline,0.2,-0.204904,0.0287555,-0.217904,0.0324269,-0.0292531,0.0186141,1.26719,0.0270429,1.80467,0.203941,0.703346,0.0287422
baseline,0.3,-0.199183,0.0261591,-0.212374,0.0268578,-0.0395341,0.014948,1.29726,0.0269931,1.22,0.183182,0.715634,0.0267497
baseline,0.4,-0.206701,0.0275123,-0.179814,0.0347695,-0.0120559,0.0140808,1.32102,0.025015,0.718,0.138633,0.703609,0.0282712
baseline,0.5,-0.199083,0.0269315,-0.181691,0.0289711,-0.0246358,0.0190837,1.46298,0.0269454,0.347333,0.0688993,0.710416,0.026273
baseline,0.6,-0.181546,0.0305917,-0.187709,0.0283684,-0.0328138,0.018152,1.52073,0.0240532,1.11133,0.186948,0.695431,0.0266695
baseline,0.7,-0.162615,0.0326594,-0.151831,0.0315054,-0.034483,0.0197606,1.58689,0.0268327,0.853333,0.16059,0.669695,0.0296352
baseline,0.8,-0.156288,0.0397533,-0.163368,0.0316276,-0.033135,0.0224491,1.74552,0.0265504,2.39467,0.191121,0.611464,0.0347205
baseline,0.9,-0.141234,0.0412168,-0.153893,0.0298303,0.000428626,0.0261872,1.94545,0.028078,9.95533,0.570397,0.221709,0.0357919
baseline,1.0,-0.122186,0.0390724,-0.154602,0.0304292,-0.0241181,0.0296178,1.95189,0.027531,10.258,0.501888,0.220619,0.0369645
switches,0.0,-0.207501,0.0240538,-0.217217,0.0277325,-0.00986714,0.0177083,1.16697,0.0284646,1.19733,0.151037,0.778252,0.0237857
switches,0.1,-0.206047,0.0244848,-0.200747,0.0265469,-0.021121,0.0178788,1.17165,0.028508,1.378,0.205979,0.769762,0.0239421
switches,0.2,-0.197309,0.0245288,-0.184382,0.0240059,-0.0115879,0.0194923,1.17461,0.0293146,1.126,0.148296,0.785909,0.0236498
switches,0.3,-0.17487,0.0277413,-0.179361,0.0270101,-0.0182098,0.0188998,1.20913,0.0291275,0.928667,0.174034,0.784798,0.0203975
switches,0.4,-0.19478,0.0295961,-0.149278,0.0231404,0.000537726,0.0124226,1.22589,0.0326361,0.511333,0.123918,0.775821,0.0236735
switches,0.5,-0.199625,0.0260645,-0.125032,0.0236807,-0.0480949,0.0213913,1.32795,0.030557,0.518667,0.127225,0.785088,0.0214443
switches,0.6,-0.201627,0.0294484,-0.104674,0.023384,-0.0263021,0.0187006,1.39651,0.0338933,0.778,0.142644,0.772062,0.0227203
switches,0.7,-0.23627,0.0334203,-0.137284,0.0248973,-0.0102378,0.0172319,1.42101,0.0333992,0.522,0.102503,0.742664,0.0251789
switches,0.8,-0.213841,0.037372,-0.109553,0.0298978,-0.0189625,0.0266325,1.61117,0.0365326,0.824667,0.118971,0.709666,0.0284534
switches,0.9,-0.299443,0.0524229,-0.125291,0.0321336,-0.0217524,0.0302784,1.81975,0.0407694,2.48733,0.435236,0.499639,0.0488977
switches,1.0,-0.312052,0.0509005,-0.125312,0.029878,-0.0167015,0.0364899,1.81706,0.0378788,3.08933,0.477648,0.483238,0.0505122
