alpha,seci,seci_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_var_norm,mae_norm,total_bubble_norm,total_score_norm
0,-0.234836,0.0227977,-0.277551,0.0231926,-0.0485528,0.0189703,1.25587,0.0257848,2.112,0.699476,1,1,0.00641308,2,2.00641
0.1,-0.217607,0.0255644,-0.247834,0.0297363,-0.0750849,0.021162,1.25138,0.0245882,2.06333,0.715976,0.847056,0.763631,0,1.61069,1.61069
0.2,-0.204904,0.0287555,-0.217904,0.0324269,-0.0292531,0.0186141,1.26719,0.0270429,1.80467,0.703346,0.734292,0.525558,0.0225754,1.25985,1.28243
0.3,-0.199183,0.0261591,-0.212374,0.0268578,-0.0395341,0.014948,1.29726,0.0269931,1.22,0.715634,0.683504,0.481567,0.0654971,1.16507,1.23057
0.4,-0.206701,0.0275123,-0.179814,0.0347695,-0.0120559,0.0140808,1.32102,0.025015,0.718,0.703609,0.750244,0.222579,0.0994062,0.972823,1.07223
0.5,-0.199083,0.0269315,-0.181691,0.0289711,-0.0246358,0.0190837,1.46298,0.0269454,0.347333,0.710416,0.682619,0.237507,0.302071,0.920126,1.2222
0.6,-0.181546,0.0305917,-0.187709,0.0283684,-0.0328138,0.018152,1.52073,0.0240532,1.11133,0.695431,0.526941,0.285377,0.384499,0.812318,1.19682
0.7,-0.162615,0.0326594,-0.151831,0.0315054,-0.034483,0.0197606,1.58689,0.0268327,0.853333,0.669695,0.358888,0,0.478953,0.358888,0.83784
0.8,-0.156288,0.0397533,-0.163368,0.0316276,-0.033135,0.0224491,1.74552,0.0265504,2.39467,0.611464,0.302729,0.0917616,0.705397,0.394491,1.09989
0.9,-0.141234,0.0412168,-0.153893,0.0298303,0.000428626,0.0261872,1.94545,0.028078,9.95533,0.221709,0.169092,0.0163948,0.990805,0.185487,1.17629
1,-0.122186,0.0390724,-0.154602,0.0304292,-0.0241181,0.0296178,1.95189,0.027531,10.258,0.220619,0,0.0220403,1,0.0220403,1.02204
