alpha,seci,seci_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_var_norm,mae_norm,total_bubble_norm,total_score_norm
0,-0.207501,0.0240538,-0.217217,0.0277325,-0.00986714,0.0177083,1.16697,0.0284646,1.19733,0.778252,0.237869,1,0,1.23787,1.23787
0.1,-0.206047,0.0244848,-0.200747,0.0265469,-0.021121,0.0178788,1.17165,0.028508,1.378,0.769762,0.22727,0.85365,0.00718104,1.08092,1.0881
0.2,-0.197309,0.0245288,-0.184382,0.0240059,-0.0115879,0.0194923,1.17461,0.0293146,1.126,0.785909,0.163573,0.708246,0.0117007,0.871818,0.883519
0.3,-0.17487,0.0277413,-0.179361,0.0270101,-0.0182098,0.0188998,1.20913,0.0291275,0.928667,0.784798,0,0.663633,0.064591,0.663633,0.728224
0.4,-0.19478,0.0295961,-0.149278,0.0231404,0.000537726,0.0124226,1.22589,0.0326361,0.511333,0.775821,0.145133,0.396329,0.0902641,0.541462,0.631726
0.5,-0.199625,0.0260645,-0.125032,0.0236807,-0.0480949,0.0213913,1.32795,0.030557,0.518667,0.785088,0.180456,0.180893,0.246606,0.361349,0.607955
0.6,-0.201627,0.0294484,-0.104674,0.023384,-0.0263021,0.0187006,1.39651,0.0338933,0.778,0.772062,0.195047,0,0.351642,0.195047,0.546689
0.7,-0.23627,0.0334203,-0.137284,0.0248973,-0.0102378,0.0172319,1.42101,0.0333992,0.522,0.742664,0.447577,0.289751,0.389167,0.737329,1.1265
0.8,-0.213841,0.037372,-0.109553,0.0298978,-0.0189625,0.0266325,1.61117,0.0365326,0.824667,0.709666,0.28408,0.0433481,0.680476,0.327429,1.0079
0.9,-0.299443,0.0524229,-0.125291,0.0321336,-0.0217524,0.0302784,1.81975,0.0407694,2.48733,0.499639,0.908082,0.183194,1,1.09128,2.09128
1,-0.312052,0.0509005,-0.125312,0.029878,-0.0167015,0.0364899,1.81706,0.0378788,3.08933,0.483238,1,0.183382,0.99588,1.18338,2.17926
