alpha,seci,seci_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_var_norm,mae_norm,total_bubble_norm,total_score_norm
0,-0.24596,0.0233614,-0.267002,0.0281532,-0.0406281,0.0189329,1.28082,0.0282795,1.69533,0.706374,1,0.934081,0.00300271,1.93408,1.93708
0.1,-0.229443,0.0245182,-0.27452,0.0282229,-0.047371,0.0182028,1.27875,0.0276927,1.878,0.709885,0.85323,1,0,1.85323,1.85323
0.2,-0.221829,0.023482,-0.2433,0.0270727,-0.0381609,0.0193162,1.27955,0.0263104,1.25933,0.712943,0.785565,0.72624,0.00116499,1.5118,1.51297
0.3,-0.219856,0.0283232,-0.258146,0.0259594,-0.0131924,0.0161916,1.31284,0.029406,0.956,0.712496,0.768036,0.856425,0.0493454,1.62446,1.67381
0.4,-0.204172,0.0286139,-0.234137,0.0309817,-0.0183899,0.014133,1.32672,0.0278586,0.795333,0.708847,0.628665,0.64589,0.069446,1.27456,1.344
0.5,-0.216835,0.027113,-0.218223,0.025627,-0.0318921,0.016748,1.44127,0.0275158,0.528,0.702532,0.741194,0.506351,0.235259,1.24755,1.4828
0.6,-0.195225,0.0302164,-0.232758,0.0287947,-0.0402648,0.0193874,1.50657,0.0258295,0.874,0.68916,0.549162,0.633797,0.329776,1.18296,1.51273
0.7,-0.161226,0.0335771,-0.169342,0.0307914,-0.0411393,0.0187436,1.53871,0.0279833,0.787333,0.703815,0.247034,0.0777247,0.376303,0.324758,0.701061
0.8,-0.16062,0.0375775,-0.181165,0.0307561,-0.0490299,0.0214775,1.72519,0.0262693,2.53933,0.623148,0.241655,0.181391,0.646252,0.423046,1.0693
0.9,-0.15036,0.0432352,-0.165238,0.0315478,0.0372983,0.0294508,1.94292,0.030763,10.98,0.211681,0.150474,0.0417383,0.96142,0.192213,1.15363
1,-0.133426,0.0370209,-0.160478,0.0308638,0.0396232,0.0311206,1.96957,0.027754,11.15,0.220771,0,0,1,0,1
