alpha,seci,seci_se,aeci_var,aeci_var_se,aeci_err,aeci_err_se,mae,mae_se,unmet_needs,precision,seci_norm,aeci_var_norm,mae_norm,total_bubble_norm,total_score_norm
0,-0.228082,0.0243454,-0.25385,0.0250857,-0.0248077,0.0176508,1.20073,0.030065,1.10933,0.768008,0.306512,1,0.0140579,1.30651,1.32057
0.1,-0.209721,0.02656,-0.245461,0.0248427,-0.0264885,0.0175863,1.19199,0.0309888,1.082,0.780274,0.161748,0.93631,0,1.09806,1.09806
0.2,-0.200297,0.0271089,-0.221815,0.0243677,-0.0214273,0.0161131,1.19881,0.0319501,1.04667,0.777241,0.0874502,0.756801,0.0109709,0.844251,0.855222
0.3,-0.210566,0.027692,-0.206661,0.0271685,-0.0107319,0.0173278,1.22171,0.0312037,0.768667,0.781905,0.168414,0.641751,0.0478236,0.810165,0.857989
0.4,-0.189205,0.0296696,-0.18166,0.0260031,-0.021338,0.0156088,1.24957,0.0314164,0.482667,0.780031,0,0.451957,0.0926457,0.451957,0.544603
0.5,-0.212999,0.0275266,-0.15657,0.0215957,0.00290643,0.0184037,1.33598,0.033305,0.422,0.783644,0.187597,0.261475,0.231705,0.449073,0.680777
0.6,-0.205762,0.0314529,-0.141774,0.0265129,-0.024913,0.019768,1.37623,0.0311038,0.516,0.782315,0.130537,0.149148,0.296459,0.279685,0.576144
0.7,-0.229966,0.0365898,-0.183354,0.0262534,-0.0229701,0.0171036,1.41558,0.0307638,0.556,0.760811,0.321367,0.464814,0.359787,0.786182,1.14597
0.8,-0.240271,0.040155,-0.122127,0.0290479,-0.0369504,0.0218334,1.60967,0.0367954,0.964667,0.720435,0.402613,0,0.672109,0.402613,1.07472
0.9,-0.316042,0.0508429,-0.140062,0.0382644,0.0495894,0.0281405,1.78874,0.0428982,3.242,0.51328,1,0.136151,0.960259,1.13615,2.09641
1,-0.315583,0.0554674,-0.135392,0.0355327,0.0336577,0.0271022,1.81344,0.0438001,3.64867,0.497074,0.996386,0.100702,1,1.09709,2.09709
